Netid,Fid,DiffLUDB,DiffLUDB (ms),DiffLUDB (min),#SubTandems,objFunc Derivation (aggr ns),objFunc Derivation (aggr ms),objFunc Derivation (aggr min),NLopt wrapper (aggr ns),NLopt wrapper (aggr ms),NLopt wrapper (aggr min),NLP (aggr ns),NLP (aggr ms),NLP (aggr min)
1,9,3454760,3,0,17,137046,0,0,27771,0,0,2560775,2,0
1,14,933962,0,0,4,26240,0,0,7654,0,0,746260,0,0
1,10,234911,0,0,3,12213,0,0,2745,0,0,134823,0,0
1,2,22463,0,0,0,0,0,0,0,0,0,0,0,0
1,5,187422,0,0,3,12344,0,0,3256,0,0,88346,0,0
1,7,97473,0,0,1,11341,0,0,2555,0,0,39064,0,0
1,15,17643,0,0,0,0,0,0,0,0,0,0,0,0
1,3,750388,0,0,5,25319,0,0,7031,0,0,508054,0,0
1,1,33463,0,0,1,6492,0,0,190,0,0,20,0,0
1,4,273092,0,0,2,17674,0,0,3586,0,0,150202,0,0
1,13,475502,0,0,5,24616,0,0,5371,0,0,264626,0,0
1,11,691878,0,0,5,23584,0,0,6301,0,0,495128,0,0
1,16,226165,0,0,2,18665,0,0,4358,0,0,96701,0,0
1,12,33773,0,0,1,6964,0,0,180,0,0,30,0,0
1,6,25538,0,0,1,2104,0,0,60,0,0,20,0,0
1,8,97302,0,0,1,6522,0,0,2946,0,0,40366,0,0
1,0,22902,0,0,1,2224,0,0,20,0,0,30,0,0
2,23,1442096,1,0,27,61875,0,0,10492,0,0,806850,0,0
2,19,516229,0,0,10,20358,0,0,3436,0,0,261471,0,0
2,9,3303167,3,0,57,148021,0,0,19488,0,0,1811036,1,0
2,13,368731,0,0,10,24867,0,0,6231,0,0,106299,0,0
2,8,385864,0,0,17,29937,0,0,3606,0,0,42642,0,0
2,30,906591,0,0,17,50353,0,0,6773,0,0,381345,0,0
2,0,2584648,2,0,50,110377,0,0,18643,0,0,1393815,1,0
2,29,513504,0,0,16,32930,0,0,3537,0,0,156854,0,0
2,22,3763340,3,0,65,151099,0,0,26581,0,0,2160721,2,0
2,25,1409053,1,0,27,60522,0,0,11894,0,0,795162,0,0
2,24,1426636,1,0,27,59923,0,0,12531,0,0,804509,0,0
2,5,163897,0,0,5,12032,0,0,2866,0,0,37721,0,0
2,11,358202,0,0,10,24218,0,0,3417,0,0,116468,0,0
2,27,280506,0,0,2,6772,0,0,2545,0,0,214883,0,0
2,31,495138,0,0,14,28852,0,0,5129,0,0,186029,0,0
2,7,426760,0,0,9,17643,0,0,3207,0,0,216065,0,0
2,20,8772577,8,0,89,210366,0,0,27708,0,0,6574433,6,0
2,10,1080968,1,0,22,59863,0,0,11196,0,0,460755,0,0
2,12,2451219,2,0,50,115640,0,0,18428,0,0,1270814,1,0
2,26,1556700,1,0,25,62146,0,0,12493,0,0,927991,0,0
2,2,10527108,10,0,85,216117,0,0,30369,0,0,8270133,8,0
2,16,413345,0,0,14,29943,0,0,6913,0,0,104106,0,0
2,6,1223055,1,0,34,72797,0,0,7503,0,0,416661,0,0
2,1,179576,0,0,10,14697,0,0,231,0,0,270,0,0
2,21,1563282,1,0,30,67691,0,0,7814,0,0,846656,0,0
2,17,411912,0,0,9,18903,0,0,3377,0,0,209032,0,0
2,3,1569313,1,0,25,62286,0,0,12351,0,0,939964,0,0
2,4,2302680,2,0,43,105487,0,0,18214,0,0,1197205,1,0
2,14,2552078,2,0,19,48098,0,0,10109,0,0,452840,0,0
2,18,1037516,1,0,22,60945,0,0,11210,0,0,408646,0,0
2,32,2900461,2,0,52,131075,0,0,20699,0,0,1479934,1,0
2,15,5734928,5,0,52,120429,0,0,13103,0,0,4472012,4,0
2,28,228168,0,0,11,16692,0,0,260,0,0,260,0,0
3,36,32409739,32,0,965,1505517,1,0,96558,0,0,5751046,5,0
3,28,7139823,7,0,243,375618,0,0,28612,0,0,533340,0,0
3,206,34780006,34,0,892,1430725,1,0,105708,0,0,10163728,10,0
3,121,60581145,60,0,1917,3023630,3,0,210778,0,0,8077919,8,0
3,15,64352572,64,0,1901,3058310,3,0,216889,0,0,11431240,11,0
3,212,137842514,137,0,4352,6869179,6,0,464279,0,0,18293129,18,0
3,78,30674072,30,0,955,1512410,1,0,105685,0,0,4543405,4,0
3,93,19763596,19,0,378,678906,0,0,49707,0,0,8622366,8,0
3,60,19996233,19,0,608,962777,0,0,71775,0,0,3241240,3,0
3,85,427011296,427,0,12894,20430741,20,0,1403015,1,0,74313758,74,0
3,1,73589089,73,0,1775,2808181,2,0,209182,0,0,25068071,25,0
3,3,61677271,61,0,2010,3124784,3,0,220597,0,0,7743255,7,0
3,189,20797675,20,0,516,844464,0,0,54101,0,0,6519819,6,0
3,35,46788,0,0,2,4107,0,0,60,0,0,40,0,0
3,48,771843480,771,0,21159,32806745,32,0,2257305,2,0,198873652,198,0
3,192,16478654,16,0,547,841716,0,0,60652,0,0,1903799,1,0
3,23,10207458,10,0,271,431321,0,0,33069,0,0,2716228,2,0
3,209,28993930,28,0,937,1424086,1,0,83428,0,0,4355979,4,0
3,54,168467234,168,0,1775,2803952,2,0,206974,0,0,120028226,120,0
3,150,71420731,71,0,2195,3457171,3,0,247683,0,0,11854539,11,0
3,42,516804241,516,0,14297,22151005,22,0,1559347,1,0,129066089,129,0
3,208,257413002,257,0,7769,12262654,12,0,847378,0,0,45679958,45,0
3,160,21195500,21,0,462,715461,0,0,48898,0,0,8645197,8,0
3,175,803754773,803,0,22712,35966563,35,0,2428076,2,0,184882135,184,0
3,74,12733698,12,0,348,560942,0,0,42130,0,0,3093973,3,0
3,77,1861843,1,0,40,83217,0,0,7614,0,0,530765,0,0
3,139,645203061,645,0,17130,26915556,26,0,1834998,1,0,179564075,179,0
3,163,98665,0,0,2,4449,0,0,40,0,0,50,0,0
3,43,26167589,26,0,746,1189595,1,0,83283,0,0,5752619,5,0
3,62,30538,0,0,1,2926,0,0,20,0,0,30,0,0
3,107,178895276,178,0,5353,8415036,8,0,623288,0,0,31565012,31,0
3,204,579526265,579,0,17238,27145369,27,0,1849950,1,0,111019538,111,0
3,41,74563146,74,0,1985,3136528,3,0,228701,0,0,19981425,19,0
