Netid,Fid,DiffLUDB,DiffLUDB (ms),DiffLUDB (min),#SubTandems,objFunc Derivation (aggr ns),objFunc Derivation (aggr ms),objFunc Derivation (aggr min),NLopt wrapper (aggr ns),NLopt wrapper (aggr ms),NLopt wrapper (aggr min),NLP (aggr ns),NLP (aggr ms),NLP (aggr min)
1,0,13101192,13,0,1,7964424,7,0,15028,0,0,5771,0,0
1,16,8914399,8,0,2,910722,0,0,1449264,1,0,1760441,1,0
1,13,10896908,10,0,5,870055,0,0,22532,0,0,3530279,3,0
1,1,557859,0,0,1,110527,0,0,7805,0,0,411,0,0
1,5,2190779,2,0,3,280368,0,0,10760,0,0,127770,0,0
1,12,665531,0,0,1,101030,0,0,1723,0,0,351,0,0
1,9,28800218,28,0,17,2303588,2,0,122289,0,0,15336043,15,0
1,7,792009,0,0,1,148739,0,0,8717,0,0,107742,0,0
1,10,1157637,1,0,3,179518,0,0,10280,0,0,78787,0,0
1,8,719814,0,0,1,77506,0,0,8225,0,0,96662,0,0
1,2,44975,0,0,0,0,0,0,0,0,0,0,0,0
1,6,281930,0,0,1,71054,0,0,872,0,0,320,0,0
1,15,32571,0,0,0,0,0,0,0,0,0,0,0,0
1,14,2744470,2,0,4,310124,0,0,31509,0,0,310734,0,0
1,11,1908688,1,0,5,315835,0,0,26328,0,0,234732,0,0
1,4,1563479,1,0,2,142898,0,0,10400,0,0,652166,0,0
1,3,1713541,1,0,5,254269,0,0,25878,0,0,190148,0,0
2,21,11316636,11,0,30,958777,0,0,45901,0,0,4740927,4,0
2,22,14038665,14,0,65,1956990,1,0,132803,0,0,3295304,3,0
2,10,4840441,4,0,22,663325,0,0,53532,0,0,1090959,1,0
2,24,7362303,7,0,27,790064,0,0,61706,0,0,3725508,3,0
2,26,4300844,4,0,25,498175,0,0,64654,0,0,1291186,1,0
2,2,74465997,74,0,85,1743477,1,0,179380,0,0,59626853,59,0
2,8,1300676,1,0,17,194415,0,0,23585,0,0,115366,0,0
2,17,769367,0,0,9,89779,0,0,13184,0,0,50985,0,0
2,3,3154581,3,0,25,307148,0,0,51156,0,0,1240213,1,0
2,20,80596962,80,0,89,1135826,1,0,177360,0,0,72841072,72,0
2,14,2337415,2,0,19,384793,0,0,32964,0,0,443513,0,0
2,7,854467,0,0,9,84498,0,0,9700,0,0,63318,0,0
2,12,7211750,7,0,50,547167,0,0,66787,0,0,2873185,2,0
2,13,1099788,1,0,10,116237,0,0,17063,0,0,198212,0,0
2,6,6202661,6,0,34,392727,0,0,22962,0,0,3200467,3,0
2,0,7291610,7,0,50,591258,0,0,61710,0,0,2863043,2,0
2,25,3305125,3,0,27,313671,0,0,40918,0,0,1178164,1,0
2,15,76949805,76,0,52,658402,0,0,44653,0,0,72196864,72,0
2,27,533503,0,0,2,118533,0,0,16791,0,0,106981,0,0
2,23,2906575,2,0,27,272196,0,0,37488,0,0,982654,0,0
2,31,1169569,1,0,14,133322,0,0,18725,0,0,173375,0,0
2,1,572336,0,0,10,68681,0,0,1162,0,0,370,0,0
2,16,1211277,1,0,14,162105,0,0,18565,0,0,196750,0,0
2,28,727478,0,0,11,78577,0,0,1261,0,0,390,0,0
2,30,3479001,3,0,17,218812,0,0,19718,0,0,1747145,1,0
2,32,11047601,11,0,52,608101,0,0,68457,0,0,6508206,6,0
2,9,16803062,16,0,57,750575,0,0,75838,0,0,11659358,11,0
2,4,7234142,7,0,43,559234,0,0,65549,0,0,3595873,3,0
2,29,1574100,1,0,16,133672,0,0,10920,0,0,474183,0,0
2,18,3636327,3,0,22,230862,0,0,37109,0,0,1705046,1,0
2,11,5648129,5,0,10,91943,0,0,10021,0,0,4875706,4,0
2,5,504198,0,0,5,57417,0,0,10490,0,0,97183,0,0
2,19,799463,0,0,10,83337,0,0,9778,0,0,59323,0,0
