Netid,Fid,DiffLUDB,DiffLUDB (ms),DiffLUDB (min),#SubTandems,objFunc Derivation (aggr ns),objFunc Derivation (aggr ms),objFunc Derivation (aggr min),NLopt wrapper (aggr ns),NLopt wrapper (aggr ms),NLopt wrapper (aggr min),NLP (aggr ns),NLP (aggr ms),NLP (aggr min)
1,0,12082784,12,0,1,7047937,7,0,6743,0,0,2244,0,0
1,16,9953266,9,0,2,953992,0,0,1345778,1,0,2799398,2,0
1,13,10780317,10,0,5,802116,0,0,22983,0,0,3642962,3,0
1,1,628040,0,0,1,123873,0,0,2034,0,0,420,0,0
1,5,2075188,2,0,3,307859,0,0,11381,0,0,43923,0,0
1,12,630995,0,0,1,95309,0,0,1743,0,0,371,0,0
1,9,32677176,32,0,17,2198728,2,0,118174,0,0,20052563,20,0
1,7,745199,0,0,1,132429,0,0,8416,0,0,147697,0,0
1,10,1046065,1,0,3,166914,0,0,10179,0,0,17193,0,0
1,8,709954,0,0,1,87103,0,0,8226,0,0,143850,0,0
1,2,44824,0,0,0,0,0,0,0,0,0,0,0,0
1,6,336341,0,0,1,68599,0,0,901,0,0,381,0,0
1,15,24747,0,0,0,0,0,0,0,0,0,0,0,0
1,14,2003854,2,0,4,282661,0,0,30989,0,0,311064,0,0
1,11,1688010,1,0,5,328827,0,0,26511,0,0,169638,0,0
1,4,4723161,4,0,2,143349,0,0,10400,0,0,3783315,3,0
1,3,1733816,1,0,5,282129,0,0,26740,0,0,168347,0,0
2,21,9972009,9,0,30,1006759,1,0,45593,0,0,3508390,3,0
2,22,41781867,41,0,65,1881493,1,0,144811,0,0,30470914,30,0
2,10,9404013,9,0,22,817476,0,0,57088,0,0,3971408,3,0
2,24,5503286,5,0,27,676340,0,0,61035,0,0,1080939,1,0
2,26,9055179,9,0,25,579397,0,0,63863,0,0,5164758,5,0
2,2,117092450,117,0,85,1822695,1,0,184845,0,0,102498255,102,0
2,8,1816131,1,0,17,237554,0,0,25858,0,0,74723,0,0
2,17,1164638,1,0,9,111731,0,0,13915,0,0,141227,0,0
2,3,5096934,5,0,25,366197,0,0,53943,0,0,2298706,2,0
2,20,98261521,98,0,89,1328260,1,0,146255,0,0,88089181,88,0
2,14,3692856,3,0,19,404040,0,0,33221,0,0,1651714,1,0
2,7,825812,0,0,9,87236,0,0,9908,0,0,9848,0,0
2,12,7461373,7,0,50,553640,0,0,61077,0,0,2731432,2,0
2,13,1221204,1,0,10,120946,0,0,17972,0,0,244250,0,0
2,6,10122452,10,0,34,386770,0,0,24485,0,0,6917942,6,0
2,0,7425819,7,0,50,630682,0,0,66895,0,0,2771575,2,0
2,25,3337929,3,0,27,311017,0,0,41084,0,0,1007055,1,0
2,15,156561403,156,0,52,672383,0,0,51314,0,0,151348422,151,0
2,27,345048,0,0,2,77506,0,0,14628,0,0,11992,0,0
2,23,2815067,2,0,27,271668,0,0,35936,0,0,842632,0,0
2,31,1331720,1,0,14,159298,0,0,18907,0,0,280557,0,0
2,1,576483,0,0,10,68317,0,0,1152,0,0,461,0,0
2,16,1185847,1,0,14,133973,0,0,18054,0,0,231535,0,0
2,28,720653,0,0,11,77574,0,0,1345,0,0,570,0,0
2,30,5236737,5,0,17,204232,0,0,20478,0,0,3544799,3,0
2,32,14071690,14,0,52,602115,0,0,72685,0,0,9528764,9,0
2,9,26184340,26,0,57,728847,0,0,81327,0,0,20848198,20,0
2,4,18839577,18,0,43,613711,0,0,68915,0,0,14971218,14,0
2,29,13722484,13,0,16,151805,0,0,19477,0,0,12497544,12,0
2,18,5509407,5,0,22,256770,0,0,46578,0,0,3400818,3,0
2,11,1574046,1,0,10,92884,0,0,10720,0,0,811774,0,0
2,5,462819,0,0,5,50846,0,0,9247,0,0,90579,0,0
2,19,841341,0,0,10,82696,0,0,10479,0,0,117329,0,0
3,135,1411773529,1411,0,29259,73888008,73,0,4977485,4,0,357235140,357,0
3,13,22903578,22,0,532,899823,0,0,61938,0,0,6570400,6,0
3,22,1029767583,1029,0,13176,26004660,26,0,1539120,1,0,589537979,589,0
3,145,8264903,8,0,228,393514,0,0,29084,0,0,1619731,1,0
3,16,53048720,53,0,1207,1995777,1,0,131252,0,0,14346920,14,0
3,160,20698197,20,0,462,772932,0,0,49433,0,0,7519375,7,0
3,177,1718998,1,0,16,48681,0,0,6401,0,0,1010768,1,0
3,186,41210625,41,0,495,817286,0,0,53390,0,0,27192808,27,0
3,207,50683907,50,0,290,596861,0,0,47095,0,0,41153497,41,0
3,204,1213898662,1213,0,17238,28844065,28,0,1860509,1,0,721312572,721,0
3,143,489234942,489,0,1321,2111784,2,0,122591,0,0,452146954,452,0
3,28,7854483,7,0,243,399605,0,0,32789,0,0,911751,0,0
3,181,1147265719,1147,0,29065,46891708,46,0,3184338,3,0,320221743,320,0
3,91,33805396,33,0,608,2170211,2,0,74951,0,0,14972648,14,0
3,168,118857816,118,0,2917,4723959,4,0,330246,0,0,35753310,35,0
3,55,69010702,69,0,738,1221110,1,0,82254,0,0,47603387,47,0
