Netid,Fid,DiffLUDB
1,9,3.0139024743621183
1,14,2.0452931077205316
1,10,1.6126418638117344
1,2,0.8752064461240441
1,5,1.6126418638117344
1,7,0.9315430915554366
1,15,0.6633280045467382
1,3,1.1237108128046744
1,1,0.8265598436539354
1,4,2.1531471876198074
1,13,2.028903092314889
1,11,1.1237108128046744
1,16,1.8608058676737447
1,12,0.8265598436539354
1,6,0.8950383449855422
1,8,0.9315430915554366
1,0,0.6412560042556942
2,23,2.2361619966768633
2,19,1.6516887875851172
2,9,3.6478068937309214
2,13,2.274246691538492
2,8,2.7479362897293953
2,30,2.1048839849905088
2,0,3.3769318935521064
2,29,3.1536760312466283
2,22,4.112407382171948
2,25,3.039803091092974
2,24,3.5912979543414774
2,5,1.5349980512776475
2,11,2.355906928747589
2,27,1.171999061705013
2,31,1.5216793696428508
2,7,1.4436085458465608
2,20,5.126738775352234
2,10,2.59873034694186
2,12,3.4014642350843616
2,26,3.4279423058101344
2,2,4.792251038636062
2,16,1.6760391992649946
2,6,4.204492971138161
2,1,1.00233367563801
2,21,2.835674035056333
2,17,1.919401896278891
2,3,3.4279423058101344
2,4,3.2550747375144966
2,14,2.3149826844506682
2,18,2.4553211418286827
2,32,4.043573635858239
2,15,4.2031185403528095
2,28,1.3072028827477529
3,36,7.195231063146775
3,28,3.517868763076882
3,206,6.42707152513791
3,121,9.420872131714614
3,15,7.342756606045161
3,212,9.866164633990891
3,78,5.923637473539667
3,93,7.85264151264502
3,60,7.101407619225378
3,85,10.676392778940928
3,1,9.545981775197731
3,3,7.425885374591692
3,189,7.550137374609628
3,35,0.836616380783526
3,48,14.519421424795691
3,192,4.032514542390945
3,23,4.801946654079924
3,209,8.06677488821
3,54,9.546028773964583
3,150,7.040772539175694
3,42,17.553351362069716
3,208,9.468388289927981
3,160,2.605641892685756
3,175,13.193435032914897
3,74,5.514959447446784
3,77,3.254701757050624
3,139,12.388066488517527
3,163,0.7331811381801726
3,43,6.441268996864795
3,62,0.9426117930166457
3,107,8.081327704443192
3,204,13.785502332876614
3,41,8.126319570975195
3,133,8.761632951264875
3,168,7.958443749358737
3,96,11.041366810689437
3,202,8.557925305543957
3,64,11.386890149069428
3,65,18.81854722027022
3,102,7.702621465155018
3,17,2.9523753685032843
3,154,4.927947760719137
3,104,9.240006939450408
3,185,11.92233857422451
3,40,0.9426117930166457
3,200,12.686404651276574
3,218,4.990454318512221
3,179,5.128062864095814
3,13,5.162885261939133
3,119,8.011368463781483
3,196,0.8196792982116715
3,157,5.284603722659257
3,229,4.230228170662331
3,56,4.653667518583103
3,178,4.7154344691986285
3,21,0.836616380783526
3,199,5.165313983720605
3,49,0.9024131860018872
3,112,7.150965408814353
3,145,4.307992484422784
3,125,4.042022666538195
3,103,5.423247446197748
3,146,11.548716585741566
3,120,9.853235862212397
3,135,18.094188214717335
3,25,6.6665151044997115
3,68,6.33149778306204
3,169,14.208323457949282
3,144,5.773382500278873
3,183,4.337778895491739
3,201,4.232173018516024
3,147,1.4165070349472662
3,30,5.55947890995691
3,27,5.314934567619091
3,174,10.753431189524319
3,14,6.6806972921497785
3,211,0.5463279162301368
3,45,10.2641222016882
3,228,7.345674326456608
3,172,1.31108339074286
3,31,4.19990057843806
3,161,14.121962161011854
3,76,1.408099241592347
3,177,2.5422597021272773
3,153,2.2407367142808625
3,101,4.979079955606172
3,170,2.9653633613607058
3,152,0.8686326538585614
3,220,4.4250315324694265
3,37,2.464687801297169
3,207,6.36210053790191
3,87,11.500735965388497
3,39,9.96945383020119
3,33,8.818799603547976
3,59,3.9514828125601844
3,167,9.010658069124386
3,90,8.120509130102427
3,75,7.777786066496478
3,29,11.218350421979547
3,83,15.581326274720455
3,194,5.557653930786844
3,131,18.186891677340526
3,176,12.319535191046924
3,22,10.419355367417007
3,86,13.87306998916924
3,210,5.8937942255106375
3,79,8.15951911877091
3,89,5.285213378092781
3,38,12.45799880007882
3,216,1.9848644942544214
3,70,7.4186493719172715
3,111,12.969065832766326
3,52,15.638155747795631
3,187,3.9271303088170955
3,151,3.951949340933957
3,32,5.90565693667819
3,219,9.41278361898406
3,2,1.4455154930847136
3,159,5.29986564064195
3,137,7.358415539102757
3,7,0.9049292697065677
3,197,12.253391105864095
3,114,3.294917012511109
3,20,11.678225400807174
3,116,6.348694190890791
3,80,7.789147067584615
3,19,4.564520234664329
3,118,3.2828520747080607
3,110,7.388581183529098
3,217,11.318656420197712
3,140,0.7331811381801726
3,156,7.146521082313292
3,181,19.44382369905108
3,182,7.388540530736485
3,100,1.827856667343952
3,215,9.842979223565422
