Netid,Fid,DiffLUDB,DiffLUDB (ms),DiffLUDB (min),#SubTandems,objFunc Derivation (aggr ns),objFunc Derivation (aggr ms),objFunc Derivation (aggr min),NLopt wrapper (aggr ns),NLopt wrapper (aggr ms),NLopt wrapper (aggr min),NLP (aggr ns),NLP (aggr ms),NLP (aggr min)
1,10,4155818,4,0,3,14648,0,0,3988,0,0,4043416,4,0
1,0,23514,0,0,1,3016,0,0,60,0,0,20,0,0
1,5,4110974,4,0,3,11281,0,0,2995,0,0,4013681,4,0
1,3,3205431,3,0,5,32523,0,0,7383,0,0,2991909,2,0
1,16,2277619,2,0,2,18003,0,0,4709,0,0,2144189,2,0
1,6,23945,0,0,1,2114,0,0,40,0,0,31,0,0
1,13,680939,0,0,5,23664,0,0,5591,0,0,478248,0,0
1,4,593064,0,0,2,17864,0,0,2835,0,0,474131,0,0
1,1,29485,0,0,1,6793,0,0,190,0,0,20,0,0
1,11,2091039,2,0,5,22854,0,0,6552,0,0,1912383,1,0
1,15,4990,0,0,0,0,0,0,0,0,0,0,0,0
1,8,120607,0,0,1,6012,0,0,2685,0,0,64220,0,0
1,9,7931971,7,0,17,122030,0,0,25009,0,0,7077724,7,0
1,2,3807,0,0,0,0,0,0,0,0,0,0,0,0
1,14,2146834,2,0,4,25339,0,0,8004,0,0,1955465,1,0
1,12,28834,0,0,1,6552,0,0,180,0,0,30,0,0
1,7,112050,0,0,1,6162,0,0,2665,0,0,60022,0,0
2,30,1460564,1,0,17,50866,0,0,7173,0,0,948863,0,0
2,16,413848,0,0,14,32031,0,0,6042,0,0,106389,0,0
2,24,3657571,3,0,27,59501,0,0,12765,0,0,3081370,3,0
2,14,809370,0,0,19,44151,0,0,8394,0,0,382128,0,0
2,26,4048255,4,0,25,61825,0,0,12814,0,0,3455562,3,0
2,28,204965,0,0,11,16681,0,0,280,0,0,260,0,0
2,2,52924490,52,0,85,214632,0,0,31198,0,0,50804917,50,0
2,4,5681093,5,0,43,105595,0,0,18786,0,0,4629217,4,0
2,25,3641763,3,0,27,61998,0,0,12522,0,0,3062926,3,0
2,11,898648,0,0,10,23591,0,0,3276,0,0,673585,0,0
2,31,369223,0,0,14,28440,0,0,5100,0,0,84949,0,0
2,32,6994831,6,0,52,124294,0,0,18825,0,0,5719994,5,0
2,17,219954,0,0,9,17502,0,0,3206,0,0,35797,0,0
2,15,31873140,31,0,52,121757,0,0,12434,0,0,30688895,30,0
2,8,349898,0,0,17,30750,0,0,3669,0,0,37349,0,0
2,10,1827092,1,0,22,58922,0,0,11080,0,0,1266670,1,0
2,5,149090,0,0,5,12283,0,0,3145,0,0,32492,0,0
2,13,314701,0,0,10,23395,0,0,5200,0,0,83878,0,0
2,9,13509110,13,0,57,142973,0,0,19233,0,0,12141800,12,0
2,0,5695140,5,0,50,110218,0,0,19018,0,0,4572821,4,0
2,3,4031112,4,0,25,62009,0,0,13012,0,0,3440655,3,0
2,12,5640798,5,0,50,106599,0,0,18495,0,0,4547514,4,0
2,23,3593341,3,0,27,55427,0,0,9839,0,0,3028188,3,0
2,27,981003,0,0,2,6182,0,0,2795,0,0,919788,0,0
2,6,3689872,3,0,34,71453,0,0,7344,0,0,2957177,2,0
2,21,3164475,3,0,30,66946,0,0,7043,0,0,2493092,2,0
2,20,44394073,44,0,89,208264,0,0,28271,0,0,42341267,42,0
2,19,266070,0,0,10,19978,0,0,3427,0,0,38292,0,0
2,29,1133270,1,0,16,31651,0,0,3988,0,0,808329,0,0
2,18,1815580,1,0,22,59782,0,0,11011,0,0,1246672,1,0
2,1,165000,0,0,10,14167,0,0,240,0,0,251,0,0
2,7,1134020,1,0,9,16720,0,0,3636,0,0,941859,0,0
2,22,10084596,10,0,65,150058,0,0,26371,0,0,8590889,8,0
3,226,13172778,13,0,62,126090,0,0,8885,0,0,11227696,11,0
3,146,392597180,392,0,8458,13385257,13,0,924184,0,0,162394403,162,0
3,175,1914545459,1914,0,22712,35910702,35,0,2439024,2,0,1295972013,1295,0
3,204,882362454,882,0,17238,27202027,27,0,1855555,1,0,413646200,413,0
3,188,258963662,258,0,6785,10594350,10,0,765434,0,0,74955018,74,0
3,107,203066669,203,0,5353,8411552,8,0,616112,0,0,55915153,55,0
3,221,22050246,22,0,549,868599,0,0,66971,0,0,7024066,7,0
3,147,301196,0,0,12,17392,0,0,330,0,0,301,0,0
3,173,34025774,34,0,615,1002811,1,0,70873,0,0,17051584,17,0
3,159,9345406,9,0,281,447319,0,0,34830,0,0,1632934,1,0
3,208,361486759,361,0,7769,12329633,12,0,852098,0,0,148133970,148,0
3,134,781836085,781,0,20938,32694320,32,0,2264597,2,0,213786013,213,0
3,70,95587127,95,0,2679,4150929,4,0,278198,0,0,22114678,22,0
