Netid,Fid,DiffLUDB,DiffLUDB (ms),DiffLUDB (min),#SubTandems,objFunc Derivation (aggr ns),objFunc Derivation (aggr ms),objFunc Derivation (aggr min),NLopt wrapper (aggr ns),NLopt wrapper (aggr ms),NLopt wrapper (aggr min),NLP (aggr ns),NLP (aggr ms),NLP (aggr min)
1,14,440890,0,0,4,37612,0,0,8726,0,0,215927,0,0
1,11,290477,0,0,5,23485,0,0,6451,0,0,110027,0,0
1,10,105418,0,0,3,11662,0,0,2856,0,0,10589,0,0
1,1,30407,0,0,1,6953,0,0,191,0,0,20,0,0
1,3,281320,0,0,5,22413,0,0,6142,0,0,112170,0,0
1,7,152106,0,0,1,6072,0,0,2414,0,0,98406,0,0
1,9,6573684,6,0,17,111440,0,0,25820,0,0,5715526,5,0
1,2,5591,0,0,0,0,0,0,0,0,0,0,0,0
1,15,3146,0,0,0,0,0,0,0,0,0,0,0,0
1,12,33193,0,0,1,8025,0,0,160,0,0,20,0,0
1,0,19517,0,0,1,2033,0,0,41,0,0,30,0,0
1,13,879346,0,0,5,25429,0,0,6051,0,0,671895,0,0
1,5,107192,0,0,3,12154,0,0,2925,0,0,9889,0,0
1,4,542572,0,0,2,18234,0,0,2915,0,0,425162,0,0
1,6,23915,0,0,1,2324,0,0,40,0,0,30,0,0
1,16,233620,0,0,2,18635,0,0,4599,0,0,110457,0,0
1,8,154160,0,0,1,5982,0,0,2334,0,0,98496,0,0
2,29,1119008,1,0,16,37963,0,0,4338,0,0,749842,0,0
2,16,403140,0,0,14,29506,0,0,6171,0,0,111410,0,0
2,9,8798273,8,0,57,145496,0,0,21930,0,0,7393454,7,0
2,2,36193027,36,0,85,221542,0,0,31951,0,0,34073935,34,0
2,0,2710585,2,0,50,110325,0,0,19878,0,0,1599850,1,0
2,19,287272,0,0,10,19870,0,0,3696,0,0,64321,0,0
2,30,1901653,1,0,17,47089,0,0,6933,0,0,1427729,1,0
2,6,2961859,2,0,34,72191,0,0,7232,0,0,2209501,2,0
2,27,65343,0,0,2,6843,0,0,2705,0,0,4448,0,0
2,17,230935,0,0,9,17724,0,0,3096,0,0,46227,0,0
2,3,1810199,1,0,25,60552,0,0,12703,0,0,1222804,1,0
2,24,986248,0,0,27,59553,0,0,12652,0,0,427787,0,0
2,25,998441,0,0,27,58099,0,0,12241,0,0,431834,0,0
2,28,209435,0,0,11,15909,0,0,280,0,0,241,0,0
2,21,3138512,3,0,30,71480,0,0,8000,0,0,2452279,2,0
2,26,1799981,1,0,25,62157,0,0,13254,0,0,1215089,1,0
2,12,2670911,2,0,50,107333,0,0,18905,0,0,1577492,1,0
2,7,202522,0,0,9,17552,0,0,3466,0,0,4768,0,0
2,10,2016157,2,0,22,57487,0,0,10478,0,0,1449130,1,0
2,1,168698,0,0,10,14556,0,0,230,0,0,231,0,0
2,13,343857,0,0,10,23065,0,0,5329,0,0,110859,0,0
2,22,4705454,4,0,65,149051,0,0,25871,0,0,3235855,3,0
2,11,689489,0,0,10,24588,0,0,3466,0,0,461130,0,0
2,5,153129,0,0,5,11794,0,0,3105,0,0,36990,0,0
2,18,2012420,2,0,22,57858,0,0,10642,0,0,1443870,1,0
2,14,1098519,1,0,19,43913,0,0,7814,0,0,664702,0,0
2,23,906878,0,0,27,54469,0,0,9880,0,0,366610,0,0
2,8,391618,0,0,17,28373,0,0,3726,0,0,84108,0,0
2,32,4854215,4,0,52,123438,0,0,19297,0,0,3583311,3,0
2,31,420031,0,0,14,30387,0,0,6392,0,0,116238,0,0
2,15,26347761,26,0,52,122277,0,0,13917,0,0,25153601,25,0
2,4,2738308,2,0,43,104516,0,0,19706,0,0,1691144,1,0
2,20,57624015,57,0,89,205799,0,0,29944,0,0,55592009,55,0
3,195,851904,0,0,27,47900,0,0,4760,0,0,77078,0,0
3,50,536470659,536,0,12559,19743694,19,0,1439680,1,0,190718503,190,0
3,107,233115200,233,0,5353,8459621,8,0,630776,0,0,86024994,86,0
3,150,120999723,120,0,2195,3481959,3,0,256385,0,0,60846003,60,0
3,171,46928,0,0,2,3957,0,0,60,0,0,40,0,0
3,222,86838945,86,0,1824,2870759,2,0,211493,0,0,35848555,35,0
3,220,7229498,7,0,250,374717,0,0,26078,0,0,585480,0,0
3,202,363369352,363,0,1748,2774095,2,0,200350,0,0,315590975,315,0
3,172,346764,0,0,1,10880,0,0,3457,0,0,211508,0,0
3,175,1880568595,1880,0,22712,36234656,36,0,2514833,2,0,1254875556,1254,0
3,32,23758672,23,0,620,986475,0,0,74478,0,0,6590475,6,0
3,100,1865263,1,0,16,42249,0,0,7433,0,0,1270712,1,0
3,196,26420,0,0,1,2375,0,0,50,0,0,20,0,0
3,192,17377091,17,0,547,839597,0,0,59657,0,0,2723769,2,0
3,71,298292,0,0,12,17724,0,0,291,0,0,300,0,0
3,227,825409204,825,0,17580,27745772,27,0,2027160,2,0,341128293,341,0
3,158,439628,0,0,12,22552,0,0,4018,0,0,84119,0,0
3,124,51864873,51,0,748,1189682,1,0,84207,0,0,31138082,31,0
3,127,417676,0,0,12,22232,0,0,3708,0,0,49302,0,0
3,170,8115517,8,0,242,383788,0,0,32343,0,0,1428180,1,0
3,109,329127530,329,0,3150,4943223,4,0,334529,0,0,242859561,242,0
3,51,12829756,12,0,283,457770,0,0,34127,0,0,4890914,4,0
3,8,8346653,8,0,229,361206,0,0,26853,0,0,2040834,2,0
3,82,136183607,136,0,2917,4621226,4,0,331958,0,0,56290779,56,0
3,201,16084798,16,0,342,560705,0,0,46855,0,0,5184494,5,0
3,60,23209076,23,0,608,965107,0,0,74263,0,0,6370405,6,0
3,59,6662701,6,0,172,285189,0,0,21385,0,0,1875374,1,0
3,164,52827027,52,0,746,1202229,1,0,83247,0,0,32119741,32,0
3,142,17433618,17,0,547,843551,0,0,58730,0,0,2727664,2,0
3,22,716167771,716,0,13176,20980341,20,0,1455378,1,0,354206602,354,0
3,74,18122255,18,0,348,565825,0,0,44095,0,0,8373306,8,0
3,212,218877840,218,0,4352,6780388,6,0,479372,0,0,100664040,100,0
3,105,5578069,5,0,21,54904,0,0,7436,0,0,4731081,4,0
3,160,26854121,26,0,462,725553,0,0,51310,0,0,14230100,14,0
3,25,38722689,38,0,207,384190,0,0,31692,0,0,32455723,32,0
3,207,40999718,40,0,290,540298,0,0,49456,0,0,32169105,32,0
3,84,696462,0,0,28,39328,0,0,711,0,0,650,0,0
3,72,4167509,4,0,96,159163,0,0,12464,0,0,1494666,1,0
3,163,91182,0,0,2,3947,0,0,50,0,0,60,0,0
3,216,4314477,4,0,121,183197,0,0,12216,0,0,1062581,1,0
3,131,1264133509,1264,0,28879,45272043,45,0,3216770,3,0,473366651,473,0
3,111,208728278,208,0,5135,7984606,7,0,571064,0,0,69197141,69,0
3,55,52325770,52,0,738,1184990,1,0,84111,0,0,31767648,31,0
3,215,505597005,505,0,1775,2832849,2,0,212855,0,0,455488489,455,0
3,140,99607,0,0,2,4769,0,0,50,0,0,40,0,0
3,190,124170235,124,0,483,755802,0,0,51672,0,0,110940081,110,0
3,52,1356001017,1356,0,21558,33426256,33,0,2324313,2,0,769411273,769,0
3,38,415572569,415,0,9670,15147261,15,0,1109036,1,0,150227259,150,0
3,197,927382959,927,0,16126,26961107,26,0,1809748,1,0,481942310,481,0
3,53,544305,0,0,2,12144,0,0,3336,0,0,400194,0,0
3,63,595638524,595,0,13532,21287367,21,0,1570932,1,0,225589026,225,0
3,189,54187575,54,0,516,837891,0,0,54304,0,0,39696195,39,0
3,33,164092064,164,0,2696,4265857,4,0,307273,0,0,89919931,89,0
3,5,1186005887,1186,0,22093,34390330,34,0,2395008,2,0,582281634,582,0
3,27,23174188,23,0,496,775398,0,0,56298,0,0,9712908,9,0
3,9,143518331,143,0,2700,4265214,4,0,305537,0,0,68385682,68,0
3,151,8339830,8,0,229,358865,0,0,27799,0,0,2058248,2,0
3,54,548752099,548,0,1775,2837286,2,0,215394,0,0,499740058,499,0
3,208,427080747,427,0,7769,12340710,12,0,869621,0,0,213430221,213,0
3,218,21988956,21,0,96,172217,0,0,10068,0,0,19105986,19,0
3,177,1530272,1,0,16,43362,0,0,6912,0,0,921215,0,0
3,123,462672491,462,0,10494,16378270,16,0,1158449,1,0,174594715,174,0
3,122,86458527,86,0,1743,2759115,2,0,203369,0,0,38699953,38,0
3,136,2247189586,2247,0,50053,78163918,78,0,5525952,5,0,877248786,877,0
3,145,8971728,8,0,228,363657,0,0,29699,0,0,2628831,2,0
3,92,141770594,141,0,2700,4279049,4,0,308824,0,0,67728234,67,0
3,213,272998129,272,0,1722,2764734,2,0,188333,0,0,225385398,225,0
3,64,406592578,406,0,9417,14796130,14,0,1084695,1,0,148166488,148,0
3,110,116167689,116,0,2679,4180519,4,0,290758,0,0,41995171,41,0
3,204,1098501942,1098,0,17238,27391908,27,0,1918435,1,0,625651455,625,0
3,7,31028,0,0,1,3085,0,0,20,0,0,30,0,0
3,101,48460655,48,0,879,1429437,1,0,90453,0,0,24022403,24,0
3,180,92292499,92,0,2010,3173351,3,0,229569,0,0,36232865,36,0
3,184,162261495,162,0,2980,4694598,4,0,334078,0,0,80860485,80,0
3,30,52518428,52,0,1208,1879329,1,0,134740,0,0,19423649,19,0
3,186,26594881,26,0,495,783745,0,0,55956,0,0,11884574,11,0
3,128,25347720,25,0,694,1053587,1,0,67804,0,0,6912479,6,0
3,86,1162928638,1162,0,16870,26668373,26,0,1875813,1,0,702042160,702,0
3,58,19694173,19,0,515,834269,0,0,69793,0,0,5261446,5,0
3,219,101474161,101,0,1917,3037508,3,0,217226,0,0,49020893,49,0
3,24,54932023,54,0,1232,1926615,1,0,142211,0,0,21116757,21,0
3,147,316075,0,0,12,17713,0,0,341,0,0,280,0,0
3,132,1116332621,1116,0,13699,21688258,21,0,1546457,1,0,742142402,742,0
3,69,29662519,29,0,408,671458,0,0,53667,0,0,18273974,18,0
3,80,84360968,84,0,1414,2177788,2,0,127092,0,0,46408313,46,0
3,46,63326701,63,0,407,680888,0,0,48746,0,0,51740424,51,0
3,200,457065356,457,0,10550,16388167,16,0,1145735,1,0,168132370,168,0
3,98,3460985395,3460,0,66426,104462069,104,0,7397845,7,0,1642708800,1642,0
3,47,52453470,52,0,1062,1723636,1,0,132272,0,0,22837667,22,0
3,13,18331006,18,0,532,830494,0,0,54584,0,0,4031839,4,0
3,154,11667053,11,0,337,524218,0,0,36757,0,0,2466079,2,0
3,18,710477049,710,0,12886,20556080,20,0,1449277,1,0,356142282,356,0
3,81,222078750,222,0,4143,6575763,6,0,455907,0,0,107571777,107,0
3,99,204933268,204,0,4179,6599165,6,0,481216,0,0,90691091,90,0
3,214,275027193,275,0,588,1023190,1,0,73081,0,0,257984436,257,0
3,143,128272747,128,0,1321,2027135,2,0,120656,0,0,92792436,92,0
3,198,2653608,2,0,54,94477,0,0,8549,0,0,1159482,1,0
3,134,902764297,902,0,20938,32783874,32,0,2344871,2,0,328263888,328,0
3,137,94593594,94,0,2069,3236258,3,0,227574,0,0,38311647,38,0
3,45,263601258,263,0,5689,8915792,8,0,631908,0,0,108677508,108,0
3,10,37320239,37,0,407,665259,0,0,53510,0,0,25941122,25,0
3,87,493861463,493,0,8583,13584208,13,0,947332,0,0,258233141,258,0
3,91,23179916,23,0,608,971824,0,0,76698,0,0,6336561,6,0
3,108,112442440,112,0,610,1026307,1,0,82869,0,0,94803214,94,0
3,217,148543491,148,0,3344,5348726,5,0,405422,0,0,56120802,56,0
3,116,40084746,40,0,926,1441493,1,0,98254,0,0,13914439,13,0
3,79,111793817,111,0,1923,3068619,3,0,226158,0,0,58699292,58,0
3,88,57034518,57,0,978,1573212,1,0,126352,0,0,29830120,29,0
3,76,1221399,1,0,42,68395,0,0,7001,0,0,80590,0,0
3,139,1383844447,1383,0,17130,27163685,27,0,1886718,1,0,914937455,914,0
3,125,3487798,3,0,123,183315,0,0,13578,0,0,193121,0,0
3,181,1220965201,1220,0,29065,45357618,45,0,3274314,3,0,424716018,424,0
3,138,471978552,471,0,8293,13143026,13,0,937621,0,0,245065721,245,0
3,194,54296306,54,0,746,1200878,1,0,86129,0,0,33507689,33,0
3,115,97921098,97,0,2307,3666485,3,0,263352,0,0,34687143,34,0
3,102,138509630,138,0,2870,4477846,4,0,314344,0,0,60675803,60,0
3,104,213485081,213,0,1533,2471690,2,0,159607,0,0,170872556,170,0
3,146,469102499,469,0,8458,13417145,13,0,941942,0,0,237888771,237,0
3,44,32950215,32,0,778,1277310,1,0,105308,0,0,10944579,10,0
3,106,151449568,151,0,3237,5048794,5,0,357439,0,0,63649762,63,0
3,168,137517078,137,0,2917,4607559,4,0,332219,0,0,56187012,56,0
3,41,110265856,110,0,1985,3147514,3,0,232146,0,0,55413757,55,0
3,49,198554,0,0,2,9108,0,0,2945,0,0,71134,0,0
3,119,152985850,152,0,3237,5065092,5,0,355071,0,0,65012885,65,0
3,39,92268339,92,0,2235,3534520,3,0,261484,0,0,30881125,30,0
3,169,1310404442,1310,0,25103,39624238,39,0,2922007,2,0,618881519,618,0
3,67,53668583,53,0,410,634539,0,0,32094,0,0,42519710,42,0
3,96,475323256,475,0,10792,16898219,16,0,1244423,1,0,178790271,178,0
3,61,406222204,406,0,9417,16093297,16,0,1079088,1,0,147820157,147,0
