Netid,Fid,DiffLUDB
1,0,0.6412560042556942
1,16,1.8599550827258302
1,13,1.8616731090263965
1,1,0.8265598436539354
1,5,1.6126418638117344
1,12,0.8265598436539354
1,9,2.7394014926938173
1,7,0.9262449986724998
1,10,1.6126418638117344
1,8,0.9262449986724998
1,2,0.8752064461240441
1,6,0.8950383449855422
1,15,0.6633280045467382
1,14,2.044030502561993
1,11,1.1234077176896673
1,4,1.910447338658948
1,3,1.1234077176896673
2,28,1.3072028827477529
2,3,3.4034949919954376
2,26,3.4034949919954376
2,2,4.638086626624442
2,6,3.991940629136751
2,14,2.2753880208435584
2,19,1.6473662108127711
2,15,3.8812869062062028
2,20,4.895157499416478
2,18,2.2258153412525603
2,10,2.2258153412525603
2,17,1.9193929100336506
2,32,3.613455360897187
2,23,2.234967075095361
2,12,3.215020593232558
2,8,2.589088972368078
2,29,2.8050858294992276
2,11,2.201884046250322
2,22,3.8096866648343686
2,31,1.507123440415275
2,4,3.0603919350895112
2,21,2.431613263282238
2,13,2.001087178834336
2,27,1.171999061705013
2,5,1.396601513350151
2,0,3.215020593232558
2,24,3.3365417264565034
2,7,1.4436085458465608
2,16,1.6223287600019385
2,1,1.00233367563801
2,25,3.018967333902694
2,30,2.099848742488259
2,9,3.4658272462842703
3,159,5.211002638920246
3,22,9.856894630722168
3,43,5.353969141101795
3,100,1.7989881302705801
3,76,1.3831403676792065
3,96,10.475014585568353
3,169,13.397892768571346
3,158,2.312294051542788
3,59,3.7549579803111905
3,188,9.994309231422973
3,121,8.379042039868832
3,133,8.412950671862239
3,183,4.3301845005269355
3,147,1.4165070349472662
3,138,11.025369509338557
3,14,6.337428893273514
3,28,3.4673621732341955
3,185,11.598986604103933
3,209,7.422107836296799
3,218,4.359758523324027
3,117,7.749600834174462
3,71,1.4165070349472662
3,153,2.243431434241077
3,48,13.49319363421913
3,220,3.7862330837215503
3,9,5.7234257652723155
3,120,9.033804955063603
3,92,4.814983251069064
3,7,0.9049292697065677
3,174,10.229065364313852
3,4,7.980827977413116
3,114,3.1318268111007668
3,39,9.512039890533433
3,57,12.877945330601865
3,110,7.175761341503953
3,198,2.975511071677896
3,223,2.5764682947040374
3,219,8.379042039868832
3,69,4.590195744168794
3,55,7.137266351246727
3,164,5.353969141101795
3,35,0.836616380783526
3,171,0.836616380783526
3,67,5.556628006503018
3,143,7.81992024152146
3,75,7.084695572934348
3,166,5.887891915226364
3,78,5.527276351621902
3,13,4.411303940082623
3,181,18.602961410142466
3,119,7.749600834174462
3,8,3.8659131484212383
3,64,10.437848514622534
3,88,4.629034822161849
3,200,12.247282660644203
3,82,7.200981458570059
3,145,4.104240403975522
3,204,13.347544434874006
3,211,0.5463279162301368
3,192,4.015064004445838
3,130,10.811083293773672
3,213,7.578261935435493
3,80,6.908816497916161
3,85,10.061597341144573
3,31,3.9512131147312406
3,93,7.286294594715221
3,201,4.112519618138992
3,205,4.94361775852862
3,15,6.7649297060158124
3,56,4.146094158651166
3,186,4.497147069381415
3,112,7.094997240267245
3,191,11.025369509338557
3,3,6.795014832366061
3,151,3.8659131484212383
3,203,6.9541070561711535
3,11,6.48273859335515
3,83,14.912143463963469
3,155,4.326453432225334
3,180,5.840719510969171
3,95,15.03632427482507
3,20,10.912349339957773
3,74,5.259950504675944
3,208,8.926241575832249
3,197,11.164571580644735
3,176,11.696983067383188
3,162,12.898934018455915
3,217,10.811083293773672
3,0,5.200109593255921
3,53,1.2929021676516637
3,190,5.065831230917643
3,227,13.255356437607285
3,178,4.706888352977012
3,109,8.736959711493643
3,61,10.437848514622534
3,122,10.313629994603847
3,72,4.113653690292105
3,27,4.7497257740938945
3,193,14.912143463963469
3,136,19.267430811155787
3,111,10.795676576218014
3,52,13.947964447707458
3,46,5.374059202859158
3,152,0.8686326538585614
3,91,6.453201956533788
3,101,4.8319994120513
3,50,14.271420033240771
3,36,6.954462451771778
3,115,8.114076179701112
3,221,5.21436013490011
3,37,2.431498285668618
3,89,5.235840793764033
3,30,5.164610438220684
3,127,2.0607789340517106
3,167,8.822643531045992
3,23,4.69318294026052
3,70,7.175761341503953
3,10,4.312501264706718
3,26,8.789149175004457
3,98,20.779946567692743
3,18,8.817758797393248
3,202,7.877617321259654
3,51,4.866439577962469
3,157,5.211002638920246
3,113,11.717876360489084
3,210,5.792557243393301
3,129,5.09778889469965
3,206,6.263962521859523
3,84,1.8043466757064508
3,62,0.9426117930166457
3,125,4.031378418575202
3,195,2.5374669137475956
3,131,17.198254290688624
3,226,3.1318268111007668
3,103,4.69318294026052
3,194,5.353969141101795
3,170,2.957219245824167
3,102,7.521408165558323
3,63,11.293788822574571
3,58,4.101930868429837
3,16,6.613013275530963
3,6,5.7234257652723155
3,87,10.8704276372421
3,47,7.734772171065803
3,81,7.212337664596082
3,161,13.301612311914404
3,228,6.7649297060158124
3,73,5.8473201158109696
3,149,14.202478694027509
3,77,2.63914995036483
3,160,2.601012480770083
3,32,5.737752425001488
3,34,1.7489330790687627
3,126,4.007780756823883
3,124,6.680564828857697
3,41,7.844529230007504
3,163,0.7331811381801726
3,144,5.374059202859158
3,25,6.328635555864717
3,1,9.243301476233375
3,17,2.894386554034125
3,150,6.5832016373736835
3,60,6.453201956533788
3,79,7.7335017239952135
3,207,5.661596209875238
3,38,11.833156582621426
3,116,5.923826431851839
3,184,7.0361935303139385
3,134,17.235177660233973
3,132,14.496978329426026
3,187,3.7319413063898375
3,33,7.901299231516171
3,175,12.452347033949202
3,229,3.409565626290707
3,141,7.1459275284962365
3,168,7.200981458570059
3,65,17.669257508648172
3,189,7.134475419145298
3,212,9.333974839992877
3,148,5.347596729030825
3,173,4.5122686973674995
3,172,1.2235384531635758
3,106,7.749600834174462
3,19,4.5122686973674995
3,137,7.06448773696592
3,108,5.44405151531004
3,196,0.8196792982116715
3,97,11.696983067383188
3,105,2.884953536232406
3,68,5.8473201158109696
3,94,11.820656205020748
3,123,10.22339170004944
3,5,15.05275918545866
3,177,2.1006062604737332
3,128,5.421465659522173
3,154,4.573451632476545
3,2,1.4455154930847138
3,21,0.836616380783526
3,54,9.243301476233375
3,215,9.496704189802722
3,135,17.519805257713724
3,139,11.696983067383188
3,140,0.7331811381801726
3,40,0.9426117930166457
3,118,2.930852581552475
3,99,9.823593656767205
3,104,8.166189088321566
3,165,0.9856220558874178
3,45,9.254561699177811
3,199,4.935205043960673
3,90,7.957036003328896
3,12,4.803749984400608
3,49,0.8741235944795354
3,29,10.229065364313852
3,225,4.312501264706718
3,222,6.89310484387035
3,86,13.493579678410274
3,179,4.903607961958101
3,224,4.085760750677974
3,107,7.572750473098901
3,214,7.638020542088323
3,156,6.32861784746794
3,146,11.154627966363838
3,66,5.343910330402803
3,182,6.756894254780994
3,44,6.764862510942253
3,42,16.6424926482753
3,24,7.087710045927357
3,142,4.015064004445838
3,216,1.9827484911951314
5,4,1.2513410202761632
5,3,1.0725212786255887
5,11,1.2689375501504867
5,2,1.8835151661239793
5,16,1.123170977845781
5,15,1.3187712202497048
5,5,2.7301722216292625
5,8,1.7861556311118587
5,14,0.7869187366242598
5,10,1.410387688983123
5,7,1.71572603683474
5,6,1.3187712202497048
5,13,2.409544524349403
5,0,1.199208093915573
5,9,1.8403883607354172
5,1,1.2680738643560447
5,12,1.7338745947148024
6,15,2.351884442867121
6,22,2.215660892387812
6,4,1.5082757049709676
6,20,1.7748774760778483
6,26,2.2912524257351734
6,5,1.9508057243281722
6,13,1.499721521535403
6,14,2.4250861727453152
6,23,3.319077171120167
6,10,3.351748569822494
6,24,1.4912650207506686
6,9,0.5856638026523616
6,0,3.351748569822494
6,21,2.111414573357401
6,18,3.1951089780600754
6,17,1.8306913467596115
6,3,1.8306913467596115
6,12,2.7090695223585537
6,8,0.9917409975242107
6,7,2.22150543824928
6,25,2.5465804900363165
6,2,1.4217647209049513
6,1,1.9508734390935176
6,6,0.9887908732029398
6,16,4.511942030420169
6,11,2.298955088920607
6,19,1.7512749395895462
7,0,1.2860452674062772
7,1,1.0390419005886384
7,3,0.6368608189408116
7,2,1.8865265104880513
8,88,8.715512398147778
8,163,10.772285180274684
8,270,7.339816068160777
8,211,6.282490793071425
8,243,5.963376894445768
8,227,12.462486843537732
8,264,9.887672385982366
8,41,13.068858104468081
8,150,8.059449505482508
8,128,10.088509384346542
8,49,1.5025938031127657
8,156,11.768023524718293
8,59,8.196560257944565
8,8,13.608916269995493
8,216,11.06070458862756
8,164,2.5003638474879337
8,127,9.203820976297829
8,165,3.5057772936588982
8,242,18.658803483422545
8,90,5.821091822838552
8,20,14.916193092081958
8,229,6.5056668951365975
8,71,8.47834466772063
8,134,11.489295626987095
8,209,13.53027893355991
8,35,2.385401399799171
8,33,12.254167494807664
8,202,14.1441245909389
8,25,1.6060076310864944
8,276,2.4057234906825378
8,217,4.662774708886874
8,96,9.377651281195188
8,26,6.212507307390409
8,84,4.597678182484879
8,268,5.061912064180109
8,15,12.030897082436026
8,32,8.267379882002288
8,277,11.32540804629964
8,95,8.906227555687469
8,61,6.052867771334035
8,233,3.8251493738977036
8,36,12.254167494807664
8,120,3.41955064942977
8,260,2.435338284438803
8,257,7.608478256933354
8,53,5.961079967085855
8,182,4.596954236577629
8,68,6.462627729901227
8,186,12.870114664549382
8,225,1.257235224639357
8,196,1.0227891106261975
8,124,8.518124365980913
8,55,22.558309016980598
8,205,9.364192348519637
8,60,2.7276566367546407
8,176,6.982216004505064
8,117,9.27892655003094
8,0,7.391589494666727
8,28,6.773738631693247
8,135,2.9238899705179673
8,140,27.1746295924248
8,237,6.410295932209822
8,193,9.132254427505432
8,23,22.558309016980598
8,204,18.69710288304598
8,224,4.929332630579904
8,126,7.097670906792999
8,199,5.8148367088128445
8,187,13.05448972800459
8,153,8.779976644125675
8,263,6.013483537647986
8,259,1.3619323054301944
8,230,9.513851325090933
8,47,2.835935718344065
8,98,10.509469128739774
8,85,9.325206191533546
8,115,3.8251493738977036
8,5,7.507918830443831
8,210,26.980173684004647
8,34,12.220081885776837
8,16,7.71358729168105
8,231,8.48761690932082
8,129,7.953752789899167
8,13,4.5622313906624115
8,247,15.692003626132866
8,107,5.07081418239339
8,57,4.596675134996863
8,200,6.198663204316772
