Netid,Fid,DiffLUDB,DiffLUDB (ms),DiffLUDB (min),#SubTandems,objFunc Derivation (aggr ns),objFunc Derivation (aggr ms),objFunc Derivation (aggr min),NLopt wrapper (aggr ns),NLopt wrapper (aggr ms),NLopt wrapper (aggr min),NLP (aggr ns),NLP (aggr ms),NLP (aggr min)
1,0,11704657,11,0,1,6810378,6,0,6613,0,0,2204,0,0
1,16,9650225,9,0,2,923467,0,0,1420990,1,0,2423835,2,0
1,13,9395095,9,0,5,805515,0,0,23796,0,0,2192227,2,0
1,1,584068,0,0,1,114596,0,0,1673,0,0,361,0,0
1,5,2719140,2,0,3,324130,0,0,9898,0,0,569941,0,0
1,12,574059,0,0,1,80802,0,0,22151,0,0,411,0,0
1,9,30559899,30,0,17,7002520,7,0,123923,0,0,13093777,13,0
1,7,774055,0,0,1,133421,0,0,8376,0,0,157506,0,0
1,10,1401273,1,0,3,185598,0,0,9809,0,0,327034,0,0
1,8,907245,0,0,1,132509,0,0,8115,0,0,158287,0,0
1,2,61235,0,0,0,0,0,0,0,0,0,0,0,0
1,6,228009,0,0,1,34555,0,0,721,0,0,351,0,0
1,15,25428,0,0,0,0,0,0,0,0,0,0,0,0
1,14,2144941,2,0,4,298130,0,0,30767,0,0,442521,0,0
1,11,1822685,1,0,5,332786,0,0,25307,0,0,267402,0,0
1,4,1560863,1,0,2,151314,0,0,10421,0,0,596309,0,0
1,3,1727296,1,0,5,264927,0,0,24617,0,0,267313,0,0
2,28,5000888,5,0,11,3202788,3,0,8596,0,0,3958,0,0
2,3,6189251,6,0,25,861449,0,0,60806,0,0,1263764,1,0
2,26,6249274,6,0,25,924064,0,0,57729,0,0,1195413,1,0
2,2,52954574,52,0,85,2623827,2,0,172989,0,0,37012745,37,0
2,6,10572307,10,0,34,815941,0,0,83608,0,0,5098839,5,0
2,14,2889681,2,0,19,379031,0,0,40146,0,0,771498,0,0
2,19,1268434,1,0,10,188835,0,0,16281,0,0,151895,0,0
2,15,33787796,33,0,52,774521,0,0,75486,0,0,28364066,28,0
2,20,46621311,46,0,89,1568892,1,0,165618,0,0,35142720,35,0
2,18,5618268,5,0,22,381428,0,0,63156,0,0,2706888,2,0
2,10,5219349,5,0,22,416292,0,0,36197,0,0,2679455,2,0
2,17,1028162,1,0,9,92302,0,0,9590,0,0,187161,0,0
2,32,12342814,12,0,52,715476,0,0,65146,0,0,6095802,6,0
2,23,3211586,3,0,27,298327,0,0,33830,0,0,924856,0,0
2,12,8025122,8,0,50,636857,0,0,60513,0,0,3371329,3,0
2,8,1395963,1,0,17,142838,0,0,10620,0,0,111770,0,0
2,29,2490591,2,0,16,161741,0,0,10532,0,0,1188784,1,0
2,11,1822094,1,0,10,120968,0,0,9769,0,0,933583,0,0
2,22,11383442,11,0,65,815321,0,0,91490,0,0,5419843,5,0
2,31,1645272,1,0,14,170211,0,0,20306,0,0,396877,0,0
2,4,8240716,8,0,43,538771,0,0,62234,0,0,4009595,4,0
2,21,7476841,7,0,30,359369,0,0,23142,0,0,4576039,4,0
2,13,1306635,1,0,10,139665,0,0,19606,0,0,399239,0,0
2,27,286228,0,0,2,32602,0,0,8937,0,0,57828,0,0
2,5,637588,0,0,5,98457,0,0,9627,0,0,185669,0,0
2,0,7408653,7,0,50,595165,0,0,65483,0,0,3362398,3,0
2,24,3145281,3,0,27,358063,0,0,45399,0,0,1066852,1,0
2,7,703241,0,0,9,75803,0,0,8536,0,0,60823,0,0
2,16,1450545,1,0,14,145052,0,0,17431,0,0,394732,0,0
2,1,606780,0,0,10,99777,0,0,1222,0,0,421,0,0
2,25,3114442,3,0,27,334720,0,0,41346,0,0,1126058,1,0
2,30,4488325,4,0,17,255682,0,0,20015,0,0,2771581,2,0
2,9,14364394,14,0,57,665262,0,0,72595,0,0,9502555,9,0
3,159,29454912,29,0,281,2335210,2,0,174410,0,0,4467577,4,0
3,22,930205438,930,0,13176,45131086,45,0,3247313,3,0,365110222,365,0
3,43,44909255,44,0,746,1300528,1,0,80477,0,0,23614977,23,0
3,100,1967127,1,0,16,48513,0,0,6042,0,0,1287619,1,0
3,76,1528162,1,0,42,76033,0,0,7364,0,0,283444,0,0
3,96,512338831,512,0,10792,22983344,22,0,1286074,1,0,137459408,137,0
3,169,1193595406,1193,0,25103,47877150,47,0,2922336,2,0,411065070,411,0
3,158,457509,0,0,12,28245,0,0,3696,0,0,80561,0,0
3,59,6814797,6,0,172,300384,0,0,20712,0,0,1933481,1,0
3,188,272099105,272,0,6785,15256948,15,0,750568,0,0,81535765,81,0
3,121,96611116,96,0,1917,7296014,7,0,211558,0,0,39736001,39,0
3,133,318717141,318,0,6414,10857119,10,0,700224,0,0,140721955,140,0
3,183,21109749,21,0,473,797131,0,0,54879,0,0,8003234,8,0
3,147,314851,0,0,12,17823,0,0,432,0,0,340,0,0
3,138,427304450,427,0,8293,14107832,14,0,909125,0,0,197746114,197,0
3,14,201861683,201,0,3942,6608889,6,0,440709,0,0,91840934,91,0
3,28,8061800,8,0,243,392800,0,0,29875,0,0,1497363,1,0
3,185,372994360,372,0,9495,15509457,15,0,1035204,1,0,113496724,113,0
