Netid,Fid,DiffLUDB,DiffLUDB (ms),DiffLUDB (min),#SubTandems,objFunc Derivation (aggr ns),objFunc Derivation (aggr ms),objFunc Derivation (aggr min),NLopt wrapper (aggr ns),NLopt wrapper (aggr ms),NLopt wrapper (aggr min),NLP (aggr ns),NLP (aggr ms),NLP (aggr min)
1,0,11867864,11,0,1,6726357,6,0,6782,0,0,2555,0,0
1,16,9776756,9,0,2,922593,0,0,1327895,1,0,2795692,2,0
1,13,10700922,10,0,5,869382,0,0,24988,0,0,2947578,2,0
1,1,563548,0,0,1,107341,0,0,2004,0,0,381,0,0
1,5,2215181,2,0,3,299442,0,0,11902,0,0,62638,0,0
1,12,580100,0,0,1,104826,0,0,1794,0,0,361,0,0
1,9,31611673,31,0,17,2332151,2,0,124746,0,0,18628164,18,0
1,7,780577,0,0,1,147437,0,0,8587,0,0,131857,0,0
1,10,1097051,1,0,3,223961,0,0,9708,0,0,17072,0,0
1,8,716095,0,0,1,79248,0,0,8226,0,0,116288,0,0
1,2,43592,0,0,0,0,0,0,0,0,0,0,0,0
1,6,269526,0,0,1,70192,0,0,792,0,0,400,0,0
1,15,25358,0,0,0,0,0,0,0,0,0,0,0,0
1,14,2378108,2,0,4,275458,0,0,30968,0,0,217920,0,0
1,11,1687460,1,0,5,315412,0,0,26720,0,0,138139,0,0
1,4,1410950,1,0,2,146555,0,0,10550,0,0,467889,0,0
1,3,1658646,1,0,5,243047,0,0,25439,0,0,139141,0,0
2,21,12178707,12,0,30,1170121,1,0,45752,0,0,5614883,5,0
2,22,17915395,17,0,65,1971171,1,0,136350,0,0,6643467,6,0
2,10,5439528,5,0,22,655821,0,0,50845,0,0,1597663,1,0
2,24,3987770,3,0,27,557848,0,0,58401,0,0,493835,0,0
2,26,4186094,4,0,25,508644,0,0,63731,0,0,1316923,1,0
2,2,71970528,71,0,85,1817213,1,0,186884,0,0,58819346,58,0
2,8,1364223,1,0,17,184385,0,0,24457,0,0,99516,0,0
2,17,743838,0,0,9,81384,0,0,13625,0,0,54071,0,0
2,3,3192947,3,0,25,280567,0,0,52497,0,0,1322924,1,0
2,20,107930257,107,0,89,1190704,1,0,149263,0,0,99103607,99,0
2,14,3305370,3,0,19,406365,0,0,34243,0,0,1390052,1,0
2,7,779464,0,0,9,87131,0,0,8967,0,0,9467,0,0
2,12,7270236,7,0,50,556244,0,0,59110,0,0,2930717,2,0
2,13,1066032,1,0,10,125346,0,0,16420,0,0,181431,0,0
2,6,7052950,7,0,34,391425,0,0,23180,0,0,4131800,4,0
2,0,7122669,7,0,50,597642,0,0,59833,0,0,2920920,2,0
2,25,2881502,2,0,27,302620,0,0,38862,0,0,777440,0,0
2,15,51536062,51,0,52,659289,0,0,50966,0,0,46649423,46,0
2,27,422874,0,0,2,109295,0,0,15059,0,0,10409,0,0
2,23,2723947,2,0,27,301808,0,0,34392,0,0,691347,0,0
2,31,1214461,1,0,14,136969,0,0,18868,0,0,182362,0,0
2,1,598194,0,0,10,71164,0,0,1141,0,0,440,0,0
2,16,1157936,1,0,14,140203,0,0,17523,0,0,174758,0,0
2,28,745510,0,0,11,78798,0,0,1383,0,0,532,0,0
2,30,4385829,4,0,17,221174,0,0,20819,0,0,2612669,2,0
2,32,11204597,11,0,52,635166,0,0,69006,0,0,6616557,6,0
2,9,22743494,22,0,57,795807,0,0,75684,0,0,17354058,17,0
2,4,6835882,6,0,43,568309,0,0,62408,0,0,3133046,3,0
2,29,2463176,2,0,16,130124,0,0,11452,0,0,1369172,1,0
2,18,4624106,4,0,22,242437,0,0,35266,0,0,2650127,2,0
2,11,1569017,1,0,10,93798,0,0,11590,0,0,822123,0,0
2,5,439075,0,0,5,51026,0,0,9297,0,0,58229,0,0
2,19,836622,0,0,10,83599,0,0,10089,0,0,99466,0,0
3,135,1594975862,1594,0,29259,76343122,76,0,4748055,4,0,500346699,500,0
3,13,18832707,18,0,532,854864,0,0,53863,0,0,4030048,4,0
3,22,773136406,773,0,13176,22934228,22,0,1474252,1,0,384305361,384,0
3,145,18471238,18,0,228,920695,0,0,41603,0,0,4560894,4,0
3,16,92011605,92,0,1207,3828412,3,0,158103,0,0,32348000,32,0
