Netid,Fid,DiffLUDB
1,0,0.6412560042556942
1,16,1.859977114583786
1,13,1.8617750630405008
1,1,0.8265598436539354
1,5,1.6126418638117344
1,12,0.8265598436539354
1,9,2.7458213085648
1,7,0.9262779892290236
1,10,1.6126418638117344
1,8,0.9262779892290236
1,2,0.8752064461240441
1,6,0.8950383449855422
1,15,0.6633280045467382
1,14,2.044180112300924
1,11,1.1234155666161645
1,4,1.933371021095448
1,3,1.1234155666161645
2,28,1.3072028827477529
2,3,3.4024915418609845
2,26,3.4024915418609845
2,2,4.666473398962659
2,6,4.0087526950154055
2,14,2.2831697252138694
2,19,1.6474899494373363
2,15,3.9482195339250934
2,20,4.900929872567055
2,18,2.2338266684816808
2,10,2.2338266684816808
2,17,1.9214140828824244
2,32,3.6155704473467525
2,23,2.2349727396566923
2,12,3.2826569697503176
2,8,2.6535677289322406
2,29,2.8097768416115336
2,11,2.22032365694792
2,22,3.808769089555158
2,31,1.5072375277494878
2,4,3.060896203173465
2,21,2.558274496502828
2,13,2.0040546909267998
2,27,1.171999061705013
2,5,1.396677018002752
2,0,3.2826569697503176
2,24,3.552593887255881
2,7,1.4436085458465608
2,16,1.6224814010773212
2,1,1.00233367563801
2,25,3.019100283549182
2,30,2.099906721754273
2,9,3.4067701193450817
3,159,5.222819875173587
3,22,9.915470094285563
3,43,5.3989574130111055
3,100,1.8049642155546155
3,76,1.3831785366666063
3,96,10.482003212227783
3,169,13.492391347622295
3,158,2.4213048885136885
3,59,3.786481243926546
3,188,9.988107800996197
3,121,8.419172270208813
3,133,8.43348710584807
3,183,4.330505900144321
3,147,1.4165070349472662
3,138,11.049883355561551
3,14,6.2810815439431975
3,28,3.4719403135331164
3,185,11.715555271374116
3,209,7.466636876831381
3,218,4.509767438899814
3,117,7.7513149150544605
3,71,1.4165070349472662
3,153,2.2891058239142446
3,48,13.634317077003503
3,220,3.786367491053749
3,9,5.73957700592781
3,120,9.00753010579444
3,92,4.8407036821643015
3,7,0.9049292697065677
3,174,10.207164027248371
3,4,8.010740156386465
3,114,3.129398130357351
3,39,9.635794808236334
3,57,12.964647228655075
3,110,7.4423129048584205
3,198,3.0009355463457545
3,223,2.577811875592819
3,219,8.419172270208813
3,69,4.718854687466166
3,55,7.334032258947987
3,164,5.3989574130111055
3,35,0.836616380783526
3,171,0.836616380783526
3,67,5.593197658737887
3,143,7.860846965962953
3,75,7.0745208942172315
3,166,5.943917942331001
3,78,5.664354129765472
3,13,4.586427638680164
3,181,18.654553233127526
3,119,7.7513149150544605
3,8,3.995678195238612
3,64,10.569414173152676
3,88,4.632922312929314
3,200,12.224232634211074
3,82,7.3305334037636225
3,145,4.113466092586518
3,204,13.423761898712355
3,211,0.5463279162301368
3,192,4.045181825010819
3,130,10.824490463139721
3,213,7.722414238736077
3,80,7.0713960571316115
3,85,10.156441146539672
3,31,3.964021092597223
3,93,7.3764952775580195
3,201,4.132490503474844
3,205,5.075579400843281
3,15,6.890488470338163
3,56,4.286585764589331
3,186,4.579912393338832
3,112,7.095670779201862
3,191,11.049883355561551
3,3,6.835608548582952
3,151,3.995678195238612
3,203,7.021749041512545
3,11,6.474557360988944
3,83,14.93760549678311
3,155,4.37808023658324
3,180,5.842264857010424
3,95,15.069830305014897
3,20,11.006977910658222
3,74,5.342484177961342
3,208,8.972719228842342
3,197,11.166501427599302
3,176,11.8319194143237
3,162,12.98548627790618
3,217,10.824490463139721
3,0,5.213205537577428
3,53,1.292968829158639
3,190,5.082971361334888
3,227,12.942274903559868
3,178,4.847016011595352
3,109,8.789508812592567
3,61,10.569414173152676
3,122,10.293484634368077
3,72,4.084015144318074
3,27,4.830793325801732
3,193,14.93760549678311
3,136,19.514076108514747
3,111,10.819140146384143
3,52,14.006895582564487
3,46,5.501071047970793
3,152,0.8686326538585614
3,91,6.484479906977112
3,101,4.823577520920931
3,50,14.5546461958758
3,36,7.013017021200522
3,115,8.203753042907744
3,221,5.225329744534394
3,37,2.4329426681508073
3,89,5.547381871695679
3,30,5.175656844786087
3,127,2.0608266781839837
3,167,8.855394329138774
3,23,4.713930079737175
3,70,7.4423129048584205
3,10,4.3714640261424496
3,26,8.817409949377812
3,98,20.81847846635967
3,18,8.947580745904169
3,202,8.082323472370716
3,51,5.005733802452828
3,157,5.222819875173587
3,113,11.716306990699705
3,210,5.79607453117508
