Netid,Fid,DiffLUDB,DiffLUDB (ms),DiffLUDB (min),#SubTandems,objFunc Derivation (aggr ns),objFunc Derivation (aggr ms),objFunc Derivation (aggr min),NLopt wrapper (aggr ns),NLopt wrapper (aggr ms),NLopt wrapper (aggr min),NLP (aggr ns),NLP (aggr ms),NLP (aggr min)
1,0,11933916,11,0,1,6812362,6,0,6863,0,0,2224,0,0
1,16,8963429,8,0,2,906565,0,0,1474093,1,0,1734452,1,0
1,13,11168337,11,0,5,872460,0,0,23214,0,0,3635428,3,0
1,1,580853,0,0,1,111310,0,0,13165,0,0,420,0,0
1,5,2328620,2,0,3,306957,0,0,11412,0,0,141486,0,0
1,12,529616,0,0,1,72136,0,0,1613,0,0,350,0,0
1,9,29872256,29,0,17,2277783,2,0,128133,0,0,16336645,16,0
1,7,778484,0,0,1,168577,0,0,8767,0,0,88416,0,0
1,10,1204926,1,0,3,180498,0,0,10461,0,0,85150,0,0
1,8,658558,0,0,1,81754,0,0,8346,0,0,102262,0,0
1,2,42259,0,0,0,0,0,0,0,0,0,0,0,0
1,6,301657,0,0,1,75282,0,0,931,0,0,391,0,0
1,15,32611,0,0,0,0,0,0,0,0,0,0,0,0
1,14,2578881,2,0,4,294795,0,0,32031,0,0,294212,0,0
1,11,1923158,1,0,5,319841,0,0,26821,0,0,245642,0,0
1,4,1624154,1,0,2,145224,0,0,10620,0,0,665140,0,0
1,3,1687725,1,0,5,250221,0,0,26660,0,0,215106,0,0
2,21,11068849,11,0,30,1194487,1,0,49224,0,0,4466412,4,0
2,22,14322179,14,0,65,1908182,1,0,160449,0,0,3340944,3,0
2,10,5467303,5,0,22,822599,0,0,70414,0,0,1217237,1,0
2,24,6894068,6,0,27,563941,0,0,59773,0,0,3487269,3,0
2,26,4375871,4,0,25,483500,0,0,62229,0,0,1355538,1,0
2,2,71391950,71,0,85,1664096,1,0,173756,0,0,57027164,57,0
2,8,1277022,1,0,17,176434,0,0,23141,0,0,116731,0,0
2,17,733329,0,0,9,80962,0,0,13215,0,0,51766,0,0
2,3,3062560,3,0,25,293100,0,0,50869,0,0,1210586,1,0
2,20,77922094,77,0,89,1097032,1,0,135445,0,0,70429495,70,0
2,14,2271863,2,0,19,378331,0,0,32872,0,0,434797,0,0
2,7,840491,0,0,9,85190,0,0,9237,0,0,62538,0,0
2,12,7295342,7,0,50,538510,0,0,62836,0,0,2817178,2,0
2,13,1057459,1,0,10,116360,0,0,16481,0,0,198684,0,0
2,6,5995787,5,0,34,382799,0,0,23201,0,0,3113136,3,0
2,0,6924464,6,0,50,595982,0,0,63277,0,0,2756753,2,0
2,25,3212201,3,0,27,300475,0,0,42300,0,0,1138101,1,0
2,15,74636754,74,0,52,602826,0,0,46875,0,0,70105090,70,0
2,27,524606,0,0,2,101632,0,0,15028,0,0,93205,0,0
2,23,2881901,2,0,27,272090,0,0,34977,0,0,970486,0,0
2,31,1150434,1,0,14,133458,0,0,19460,0,0,175312,0,0
2,1,555675,0,0,10,66945,0,0,2044,0,0,340,0,0
2,16,1173777,1,0,14,163747,0,0,18145,0,0,192130,0,0
2,28,702471,0,0,11,73478,0,0,1440,0,0,350,0,0
2,30,3383403,3,0,17,215879,0,0,20175,0,0,1682465,1,0
2,32,10798261,10,0,52,601217,0,0,67758,0,0,6392975,6,0
2,9,16444821,16,0,57,764284,0,0,73350,0,0,11421341,11,0
2,4,7056273,7,0,43,548010,0,0,63601,0,0,3498219,3,0
2,29,1526702,1,0,16,133141,0,0,12112,0,0,459014,0,0
2,18,3565577,3,0,22,226562,0,0,35970,0,0,1661955,1,0
2,11,1425582,1,0,10,96943,0,0,10010,0,0,701218,0,0
2,5,454625,0,0,5,51345,0,0,9280,0,0,87464,0,0
2,19,4809355,4,0,10,99408,0,0,12953,0,0,73751,0,0
3,135,1427373944,1427,0,29259,76689958,76,0,4942308,4,0,320810269,320,0
3,13,18049880,18,0,532,829254,0,0,56658,0,0,3343289,3,0
3,22,971367545,971,0,13176,23925771,23,0,1531387,1,0,557341940,557,0
3,145,8343643,8,0,228,367288,0,0,29055,0,0,1891970,1,0
3,16,47358866,47,0,1207,1896745,1,0,131627,0,0,13400487,13,0
3,160,21446188,21,0,462,728955,0,0,51282,0,0,8523773,8,0
3,177,1670793,1,0,16,46305,0,0,6752,0,0,981589,0,0
3,186,31815301,31,0,495,779823,0,0,54795,0,0,18134077,18,0
3,207,55625947,55,0,290,563580,0,0,47739,0,0,46323490,46,0
3,204,1253690000,1253,0,17238,27571415,27,0,1860210,1,0,768218325,768,0
3,143,104448867,104,0,1321,2042511,2,0,121853,0,0,68331014,68,0
3,28,7368429,7,0,243,390392,0,0,29844,0,0,707638,0,0
3,181,1087369448,1087,0,29065,46565364,46,0,3211548,3,0,277868528,277,0
3,91,22886195,22,0,608,962666,0,0,74434,0,0,5698264,5,0
3,168,116231407,116,0,2917,4544190,4,0,328888,0,0,35041471,35,0
3,55,64970783,64,0,738,1171376,1,0,82997,0,0,44101278,44,0
3,52,1126253802,1126,0,21558,33097104,33,0,2325696,2,0,528985454,528,0
3,23,10172573,10,0,271,438527,0,0,34346,0,0,2444241,2,0
3,132,1094178841,1094,0,13699,21424511,21,0,1523326,1,0,711345993,711,0
3,121,120893226,120,0,1917,2989735,2,0,216089,0,0,67723526,67,0
3,35,53100,0,0,2,4057,0,0,90,0,0,40,0,0
3,192,17186697,17,0,547,854974,0,0,60864,0,0,2017906,2,0
3,74,14625297,14,0,348,557975,0,0,42484,0,0,4738594,4,0
3,171,52298,0,0,2,4277,0,0,61,0,0,50,0,0
3,212,238672264,238,0,4352,6707221,6,0,480729,0,0,117856328,117,0
3,61,357693850,357,0,9417,14601093,14,0,1074809,1,0,94955213,94,0
3,190,89982486,89,0,483,753762,0,0,49812,0,0,76511122,76,0
3,108,89732236,89,0,610,1019046,1,0,79462,0,0,71777506,71,0
3,226,13838388,13,0,62,120834,0,0,8605,0,0,11896084,11,0
3,187,28888115,28,0,277,443173,0,0,32288,0,0,21035772,21,0
3,98,3007546688,3007,0,66426,102583473,102,0,7266911,7,0,1159632836,1159,0
3,179,22382999,22,0,472,745307,0,0,55487,0,0,9145336,9,0
3,146,575909404,575,0,8458,13259873,13,0,910025,0,0,341405439,341,0
3,138,569074678,569,0,8293,12963091,12,0,887838,0,0,339194264,339,0
3,59,6246598,6,0,172,275293,0,0,20703,0,0,1373132,1,0
3,133,419339885,419,0,6414,10038374,10,0,690601,0,0,240527605,240,0
3,214,261796065,261,0,588,1009126,1,0,70838,0,0,244426734,244,0
3,113,683831791,683,0,11485,17922747,17,0,1277342,1,0,360058953,360,0
3,38,363375503,363,0,9670,14992980,14,0,1062985,1,0,94177459,94,0
3,26,248856186,248,0,6445,9964715,9,0,710725,0,0,68870411,68,0
