Netid,Fid,DiffLUDB,DiffLUDB (ms),DiffLUDB (min),#SubTandems,objFunc Derivation (aggr ns),objFunc Derivation (aggr ms),objFunc Derivation (aggr min),NLopt wrapper (aggr ns),NLopt wrapper (aggr ms),NLopt wrapper (aggr min),NLP (aggr ns),NLP (aggr ms),NLP (aggr min)
1,0,11942930,11,0,1,6905220,6,0,6793,0,0,2214,0,0
1,16,8422114,8,0,2,934326,0,0,1389994,1,0,1145493,1,0
1,13,8777429,8,0,5,838777,0,0,24204,0,0,1347994,1,0
1,1,604997,0,0,1,111700,0,0,8716,0,0,401,0,0
1,5,2457390,2,0,3,321725,0,0,10861,0,0,140724,0,0
1,12,696549,0,0,1,109195,0,0,8386,0,0,381,0,0
1,9,23579856,23,0,17,2523721,2,0,113595,0,0,9806435,9,0
1,7,835992,0,0,1,150613,0,0,10059,0,0,62818,0,0
1,10,1329149,1,0,3,193163,0,0,9840,0,0,63680,0,0
1,8,774637,0,0,1,152296,0,0,8486,0,0,67176,0,0
1,2,44644,0,0,0,0,0,0,0,0,0,0,0,0
1,6,231736,0,0,1,36509,0,0,851,0,0,371,0,0
1,15,25898,0,0,0,0,0,0,0,0,0,0,0,0
1,14,2651854,2,0,4,565164,0,0,31388,0,0,170520,0,0
1,11,2266550,2,0,5,380625,0,0,25729,0,0,96030,0,0
1,4,1764608,1,0,2,177394,0,0,11011,0,0,538071,0,0
1,3,1963531,1,0,5,289755,0,0,26089,0,0,99157,0,0
2,28,2091742,2,0,11,323909,0,0,8797,0,0,3986,0,0
2,3,5880373,5,0,25,934097,0,0,58991,0,0,491642,0,0
2,26,5398047,5,0,25,1045068,1,0,57601,0,0,489488,0,0
2,2,35488843,35,0,85,2549996,2,0,165968,0,0,20949263,20,0
2,6,6896804,6,0,34,727459,0,0,52375,0,0,1670806,1,0
2,14,3520057,3,0,19,449195,0,0,39233,0,0,400234,0,0
2,19,1926943,1,0,10,268505,0,0,18917,0,0,65312,0,0
2,15,43940560,43,0,52,1146298,1,0,89523,0,0,34980965,34,0
2,20,31476059,31,0,89,1679523,1,0,170498,0,0,21211013,21,0
2,18,2608333,2,0,22,284994,0,0,56486,0,0,618782,0,0
2,10,2112030,2,0,22,253803,0,0,32873,0,0,595440,0,0
2,17,575552,0,0,9,77206,0,0,9278,0,0,41667,0,0
2,32,8190278,8,0,52,741885,0,0,64572,0,0,2588696,2,0
2,23,2459163,2,0,27,301787,0,0,33531,0,0,290276,0,0
2,12,5596820,5,0,50,650474,0,0,60645,0,0,1110324,1,0
2,8,1314572,1,0,17,158939,0,0,10610,0,0,46988,0,0
2,29,1698222,1,0,16,163135,0,0,11766,0,0,453252,0,0
2,11,1151494,1,0,10,135696,0,0,10388,0,0,289696,0,0
2,22,7868592,7,0,65,828825,0,0,84617,0,0,2129103,2,0
2,31,1289835,1,0,14,173545,0,0,17634,0,0,112731,0,0
2,4,5530987,5,0,43,587817,0,0,62020,0,0,1384281,1,0
2,21,5236443,5,0,30,341202,0,0,23632,0,0,2621329,2,0
2,13,1030528,1,0,10,122870,0,0,17473,0,0,113132,0,0
2,27,238438,0,0,2,35286,0,0,7694,0,0,15469,0,0
2,5,509668,0,0,5,84288,0,0,8747,0,0,66725,0,0
2,0,5326464,5,0,50,646893,0,0,66574,0,0,1109137,1,0
2,24,2458972,2,0,27,363946,0,0,40675,0,0,346612,0,0
2,7,728981,0,0,9,121280,0,0,9026,0,0,14847,0,0
2,16,1174047,1,0,14,172585,0,0,18944,0,0,123112,0,0
2,1,606981,0,0,10,84553,0,0,1300,0,0,331,0,0
2,25,2419277,2,0,27,334029,0,0,40295,0,0,346319,0,0
2,30,2821735,2,0,17,257484,0,0,19976,0,0,1042449,1,0
2,9,11665689,11,0,57,660332,0,0,69828,0,0,6499698,6,0
3,159,27882866,27,0,281,2465873,2,0,152951,0,0,1575482,1,0
3,22,875341575,875,0,13176,51187733,51,0,3476843,3,0,196137946,196,0
3,43,33366221,33,0,746,1281026,1,0,85944,0,0,11441371,11,0
3,100,1327094,1,0,16,50044,0,0,6443,0,0,628030,0,0
3,76,1361950,1,0,42,73749,0,0,6982,0,0,90189,0,0
3,96,376308622,376,0,10792,18098121,18,0,1225847,1,0,59343656,59,0
3,169,1043139275,1043,0,25103,46635273,46,0,2960326,2,0,253772237,253,0
3,158,416834,0,0,12,26201,0,0,3937,0,0,37231,0,0
3,59,5656673,5,0,172,293266,0,0,27515,0,0,613146,0,0
3,188,232115616,232,0,6785,11254252,11,0,772393,0,0,40423018,40,0
3,121,72820989,72,0,1917,3241830,3,0,213128,0,0,18601061,18,0
3,133,250457404,250,0,6414,10702585,10,0,718015,0,0,65872561,65,0
3,183,17379631,17,0,473,774418,0,0,57289,0,0,3868924,3,0
3,147,339177,0,0,12,19538,0,0,430,0,0,310,0,0
3,138,433151076,433,0,8293,19033434,19,0,1023999,1,0,114983601,114,0
3,14,155159621,155,0,3942,6433816,6,0,473780,0,0,44487043,44,0
3,28,7148038,7,0,243,388893,0,0,31888,0,0,429065,0,0
3,185,323565263,323,0,9495,15178978,15,0,1129967,1,0,56554264,56,0
3,209,30420776,30,0,937,1462240,1,0,95386,0,0,4797541,4,0
3,218,7472697,7,0,96,173407,0,0,10627,0,0,4503867,4,0
3,117,114905803,114,0,3237,5228569,5,0,383477,0,0,23301069,23,0
3,71,320973,0,0,12,18575,0,0,422,0,0,290,0,0
3,153,377840,0,0,11,24294,0,0,4158,0,0,38612,0,0
3,48,961394940,961,0,21159,35306620,35,0,2472530,2,0,367830711,367,0
3,220,7275216,7,0,250,386713,0,0,30222,0,0,344795,0,0
3,9,105229061,105,0,2700,4412144,4,0,330537,0,0,27471597,27,0
3,120,315883675,315,0,7956,12997160,12,0,976899,0,0,89146044,89,0
3,92,102616360,102,0,2700,4363705,4,0,327430,0,0,26687560,26,0
3,7,40336,0,0,1,2625,0,0,61,0,0,20,0,0
3,174,122674486,122,0,3283,5283675,5,0,407103,0,0,29118399,29,0
3,4,71986162,71,0,1925,3124502,3,0,235313,0,0,17333490,17,0
3,114,6274164,6,0,62,122205,0,0,9157,0,0,4318918,4,0
3,39,73706446,73,0,2235,3593319,3,0,281994,0,0,10424450,10,0
3,57,553166784,553,0,15534,24812537,24,0,1843467,1,0,115549455,115,0
3,110,88150838,88,0,2679,4246965,4,0,311667,0,0,13099420,13,0
3,198,2025287,2,0,54,95862,0,0,8757,0,0,459354,0,0
3,223,4040276,4,0,19,55164,0,0,7744,0,0,3222931,3,0
3,219,72543768,72,0,1917,3089732,3,0,233934,0,0,18577145,18,0
3,69,18870554,18,0,408,694767,0,0,57666,0,0,7101224,7,0
3,55,34266373,34,0,738,1220267,1,0,91514,0,0,11606437,11,0
3,164,32503180,32,0,746,1220038,1,0,91180,0,0,11272732,11,0
3,35,57969,0,0,2,3887,0,0,91,0,0,50,0,0
3,171,47529,0,0,2,3556,0,0,80,0,0,51,0,0
3,67,28563484,28,0,410,662975,0,0,35797,0,0,17040251,17,0
3,143,79050692,79,0,1321,2094172,2,0,137488,0,0,42416304,42,0
3,75,64228517,64,0,2011,3234097,3,0,259113,0,0,7591267,7,0
3,166,18716324,18,0,593,937251,0,0,68171,0,0,2266702,2,0
3,78,35890939,35,0,955,1563084,1,0,118737,0,0,8704076,8,0
3,13,16644588,16,0,532,849983,0,0,59947,0,0,1897030,1,0
3,181,958640862,958,0,29065,46423621,46,0,3386040,3,0,138914970,138,0
3,119,115360518,115,0,3237,5205090,5,0,350480,0,0,23386158,23,0
3,8,7211697,7,0,229,365464,0,0,26267,0,0,718795,0,0
3,64,317694439,317,0,9417,15076003,15,0,1053239,1,0,51500807,51,0
3,88,36524670,36,0,978,1607815,1,0,122160,0,0,8486746,8,0
3,200,353829896,353,0,10550,16728579,16,0,1128738,1,0,58329449,58,0
3,82,99490002,99,0,2917,4723086,4,0,321299,0,0,16978675,16,0
3,145,7250822,7,0,228,370180,0,0,28132,0,0,720353,0,0
3,204,718499519,718,0,17238,27976556,27,0,1871189,1,0,231684256,231,0
3,211,84910,0,0,2,4477,0,0,101,0,0,50,0,0
3,192,16417170,16,0,547,863436,0,0,60188,0,0,1267384,1,0
3,130,113415001,113,0,3344,5440182,5,0,395991,0,0,18630199,18,0
3,213,154856714,154,0,1722,3844776,3,0,189191,0,0,104692030,104,0
3,80,54944936,54,0,1414,2234355,2,0,134077,0,0,16001832,16,0
3,85,526660007,526,0,12894,22056407,22,0,1425456,1,0,162281723,162,0
3,31,4600689,4,0,60,118283,0,0,9096,0,0,2633999,2,0
3,93,35110953,35,0,378,698420,0,0,49599,0,0,23433145,23,0
3,201,12330940,12,0,342,571562,0,0,43773,0,0,1431792,1,0
3,205,35802824,35,0,879,1451106,1,0,88944,0,0,10555867,10,0
3,15,70923133,70,0,1901,3096873,3,0,216100,0,0,16866498,16,0
3,56,10077594,10,0,303,472973,0,0,29758,0,0,1657222,1,0
3,186,19081470,19,0,495,782573,0,0,54409,0,0,5328012,5,0
3,112,45689218,45,0,1264,2064854,2,0,148334,0,0,9651222,9,0
3,191,328245052,328,0,8293,13451057,13,0,919463,0,0,93625895,93,0
3,3,70410848,70,0,2010,3234236,3,0,217869,0,0,14234647,14,0
3,151,7221444,7,0,229,372785,0,0,27229,0,0,718328,0,0
3,203,21043779,21,0,504,842254,0,0,51063,0,0,6513174,6,0
3,11,21650579,21,0,664,1092001,1,0,81087,0,0,2647577,2,0
3,83,1730746514,1730,0,32352,52089882,52,0,3651642,3,0,809479908,809,0
3,155,47824822,47,0,1226,1984046,1,0,139704,0,0,13078024,13,0
3,180,69623188,69,0,2010,3188084,3,0,224444,0,0,13585991,13,0
3,95,562417334,562,0,14640,23202020,23,0,1579359,1,0,152524682,152,0
3,20,504494429,504,0,13039,21106130,21,0,1415668,1,0,138791323,138,0
3,74,12492875,12,0,348,580105,0,0,41477,0,0,2441158,2,0
3,208,305100524,305,0,7769,12556152,12,0,861298,0,0,86522117,86,0
3,197,642399797,642,0,16126,26186229,26,0,1764964,1,0,186863337,186,0
3,176,908001419,908,0,17130,27726799,27,0,1839965,1,0,423876293,423,0
3,162,509528263,509,0,14707,23407322,23,0,1591792,1,0,97349378,97,0
3,217,113283744,113,0,3344,5409369,5,0,397099,0,0,18637205,18,0
3,0,20764112,20,0,291,554589,0,0,45536,0,0,11553564,11,0
3,53,289475,0,0,2,12164,0,0,2915,0,0,139462,0,0
3,190,44818962,44,0,483,779915,0,0,49748,0,0,31152175,31,0
3,227,630153597,630,0,17580,28288857,28,0,1979388,1,0,132398042,132,0
3,178,17277608,17,0,473,770414,0,0,55035,0,0,3835277,3,0
3,109,210302932,210,0,3150,5022843,5,0,333850,0,0,121476282,121,0
3,61,317561459,317,0,9417,15050782,15,0,1065579,1,0,51535363,51,0
3,122,64522612,64,0,1743,2856174,2,0,197528,0,0,15426488,15,0
3,72,3306225,3,0,96,159647,0,0,11712,0,0,520669,0,0
3,27,18054428,18,0,496,801597,0,0,54816,0,0,4218099,4,0
3,193,1725713604,1725,0,32352,53389024,53,0,3662154,3,0,805679918,805,0
3,136,1758343002,1758,0,50053,80043870,80,0,5403059,5,0,350126886,350,0
3,111,166140885,166,0,5135,8124757,8,0,566976,0,0,22465665,22,0
3,52,816606075,816,0,21558,34303104,34,0,2304372,2,0,211097875,211,0
3,46,33362415,33,0,407,695880,0,0,48203,0,0,21424389,21,0
3,152,540586,0,0,19,27301,0,0,650,0,0,472,0,0
3,91,19856105,19,0,608,993236,0,0,72503,0,0,2469209,2,0
3,101,35618427,35,0,879,1437401,1,0,88810,0,0,10532125,10,0
3,50,417140169,417,0,12559,20122613,20,0,1394855,1,0,62466659,62,0
3,36,31758771,31,0,965,1532011,1,0,97869,0,0,5097384,5,0
3,115,76371695,76,0,2307,3716985,3,0,257407,0,0,11443410,11,0
3,221,17490800,17,0,549,923944,0,0,66692,0,0,1764596,1,0
3,37,2885975,2,0,22,61229,0,0,6922,0,0,2027199,2,0
3,89,10672141,10,0,332,546208,0,0,37409,0,0,1228779,1,0
3,30,39848098,39,0,1208,1935940,1,0,132499,0,0,5812094,5,0
3,127,411273,0,0,12,22380,0,0,3519,0,0,41918,0,0
3,167,108653980,108,0,2688,4394656,4,0,297942,0,0,21944163,21,0
3,23,8711095,8,0,271,448767,0,0,32081,0,0,963741,0,0
3,70,87721661,87,0,2679,4249734,4,0,282973,0,0,13053041,13,0
3,10,22140541,22,0,407,690713,0,0,52122,0,0,10478087,10,0
3,26,218585321,218,0,6445,10323112,10,0,717347,0,0,37103306,37,0
3,98,2480443595,2480,0,66426,109085990,109,0,7244804,7,0,608897937,608,0
3,18,505257916,505,0,12886,20914990,20,0,1412146,1,0,141153613,141,0
3,202,159123664,159,0,1748,2846194,2,0,199302,0,0,109968350,109,0
3,51,10225842,10,0,283,466083,0,0,33917,0,0,2027959,2,0
3,157,10114313,10,0,281,470550,0,0,35152,0,0,958757,0,0
3,113,497136549,497,0,11485,18605054,18,0,1288538,1,0,171030738,171,0
3,210,29572300,29,0,893,1447480,1,0,103628,0,0,4284075,4,0
3,129,21220280,21,0,694,1084455,1,0,66737,0,0,2249668,2,0
3,206,29770975,29,0,892,1449526,1,0,105991,0,0,4504109,4,0
3,84,723901,0,0,28,44090,0,0,954,0,0,733,0,0
3,62,32321,0,0,1,2265,0,0,40,0,0,30,0,0
3,125,3456176,3,0,123,190757,0,0,16290,0,0,110615,0,0
3,195,780698,0,0,27,43420,0,0,4159,0,0,47949,0,0
3,131,960501422,960,0,28879,45940022,45,0,3142778,3,0,150490826,150,0
3,226,6271320,6,0,62,123022,0,0,9046,0,0,4309342,4,0
3,103,8720412,8,0,271,450345,0,0,33210,0,0,963975,0,0
3,194,33573122,33,0,746,1220963,1,0,83738,0,0,11322528,11,0
3,170,7606669,7,0,242,390435,0,0,31322,0,0,737729,0,0
3,102,102123984,102,0,2870,4559592,4,0,305214,0,0,22462234,22,0
3,63,462496782,462,0,13532,21650172,21,0,1512392,1,0,82468371,82,0
3,58,17519584,17,0,515,849811,0,0,66371,0,0,2690195,2,0
3,16,41642550,41,0,1207,1922906,1,0,129957,0,0,6758572,6,0
3,6,103096162,103,0,2700,4336642,4,0,298957,0,0,27436423,27,0
3,87,335207482,335,0,8583,13807436,13,0,929433,0,0,93883321,93,0
3,47,38660795,38,0,1062,1758202,1,0,128564,0,0,8254729,8,0
3,81,163356251,163,0,4143,6770206,6,0,447760,0,0,45719628,45,0
3,161,704596246,704,0,11557,18797346,18,0,1302451,1,0,373274073,373,0
3,228,70827674,70,0,1901,3098008,3,0,218473,0,0,16856180,16,0
3,73,39599149,39,0,1208,1920317,1,0,129854,0,0,5787639,5,0
3,149,757605195,757,0,16644,26887015,26,0,1809968,1,0,288584020,288,0
3,77,2447502,2,0,40,85990,0,0,7907,0,0,1035075,1,0
3,160,16835968,16,0,462,743374,0,0,49790,0,0,3797755,3,0
3,32,20245398,20,0,620,1002518,1,0,70999,0,0,2643029,2,0
3,34,1270279,1,0,42,69621,0,0,7171,0,0,82777,0,0
3,126,19210051,19,0,607,960322,0,0,68125,0,0,1313057,1,0
3,124,33032996,33,0,748,1219586,1,0,81828,0,0,11731724,11,0
3,41,73613851,73,0,1985,3224418,3,0,227254,0,0,17295965,17,0
3,163,99447,0,0,2,4298,0,0,80,0,0,50,0,0
3,144,33329794,33,0,407,683221,0,0,46902,0,0,21400068,21,0
3,25,17355815,17,0,207,401313,0,0,29932,0,0,10893872,10,0
3,1,250565640,250,0,1775,2898110,2,0,207260,0,0,200313302,200,0
3,17,5156833,5,0,20,59269,0,0,7444,0,0,4299714,4,0
3,150,85105593,85,0,2195,3544412,3,0,247443,0,0,23434793,23,0
3,60,19778740,19,0,608,979741,0,0,72022,0,0,2487576,2,0
3,79,72226965,72,0,1923,3149844,3,0,221811,0,0,17618096,17,0
3,207,20739177,20,0,290,552183,0,0,45704,0,0,11617197,11,0
3,38,322280801,322,0,9670,15419998,15,0,1087700,1,0,50071615,50,0
3,116,31959629,31,0,926,1471332,1,0,99152,0,0,6345598,6,0
3,184,113069111,113,0,2980,4772940,4,0,321159,0,0,28392441,28,0
3,134,694831541,694,0,20938,33398202,33,0,2287620,2,0,107777615,107,0
3,132,634527609,634,0,13699,22139616,22,0,1502264,1,0,250927533,250,0
3,187,13029324,13,0,277,461121,0,0,32372,0,0,5104489,5,0
3,33,105059993,105,0,2696,4382823,4,0,293356,0,0,28648772,28,0
3,175,1101084786,1101,0,22712,36765119,36,0,2452428,2,0,460229550,460,0
3,229,7168816,7,0,243,389503,0,0,29760,0,0,436255,0,0
3,141,45856823,45,0,1259,2054928,2,0,145455,0,0,10090659,10,0
3,168,98935793,98,0,2917,4681115,4,0,321595,0,0,16964603,16,0
3,65,1227687316,1227,0,35228,56036431,56,0,3837274,3,0,238976775,238,0
3,189,34570055,34,0,516,851618,0,0,54507,0,0,19723931,19,0
3,212,162728150,162,0,4352,8059518,8,0,469645,0,0,40596465,40,0
3,148,31081748,31,0,445,744904,0,0,52892,0,0,18377733,18,0
3,173,28261796,28,0,615,1022956,1,0,70620,0,0,10669976,10,0
3,172,295095,0,0,1,10479,0,0,2806,0,0,157396,0,0
3,106,113321534,113,0,3237,5171726,5,0,348738,0,0,23266079,23,0
3,19,28307042,28,0,615,1029123,1,0,71463,0,0,10660576,10,0
3,137,73423153,73,0,2069,3296495,3,0,226777,0,0,14464769,14,0
3,108,55231176,55,0,610,1051735,1,0,80264,0,0,37127229,37,0
3,196,33022,0,0,1,2645,0,0,70,0,0,30,0,0
3,97,903023444,903,0,17130,27563491,27,0,1840617,1,0,421822810,421,0
3,105,2505179,2,0,21,56285,0,0,7223,0,0,1615396,1,0
3,68,40875689,40,0,1208,3001714,3,0,132398,0,0,5793062,5,0
3,94,487406579,487,0,11812,19095657,19,0,1271671,1,0,156052241,156,0
3,123,349106989,349,0,10494,16692234,16,0,1141733,1,0,55613218,55,0
