Netid,Fid,DiffLUDB,DiffLUDB (ms),DiffLUDB (min),#SubTandems,objFunc Derivation (aggr ns),objFunc Derivation (aggr ms),objFunc Derivation (aggr min),NLopt wrapper (aggr ns),NLopt wrapper (aggr ms),NLopt wrapper (aggr min),NLP (aggr ns),NLP (aggr ms),NLP (aggr min)
1,0,11321006,11,0,1,6633112,6,0,6953,0,0,2234,0,0
1,16,9860380,9,0,2,884131,0,0,1366681,1,0,2805565,2,0
1,13,10924521,10,0,5,843044,0,0,23575,0,0,3808460,3,0
1,1,572356,0,0,1,108855,0,0,1743,0,0,361,0,0
1,5,2229081,2,0,3,298230,0,0,10109,0,0,43852,0,0
1,12,641716,0,0,1,94678,0,0,1693,0,0,341,0,0
1,9,33458380,33,0,17,2233025,2,0,121381,0,0,20897002,20,0
1,7,745351,0,0,1,139112,0,0,8916,0,0,141537,0,0
1,10,1047008,1,0,3,174839,0,0,10139,0,0,16191,0,0
1,8,744389,0,0,1,82836,0,0,8105,0,0,140304,0,0
1,2,42620,0,0,0,0,0,0,0,0,0,0,0,0
1,6,332405,0,0,1,66795,0,0,822,0,0,360,0,0
1,15,25137,0,0,0,0,0,0,0,0,0,0,0,0
1,14,1966237,1,0,4,280338,0,0,31741,0,0,308810,0,0
1,11,1682654,1,0,5,298382,0,0,29766,0,0,174368,0,0
1,4,4308371,4,0,2,141305,0,0,10270,0,0,3330551,3,0
1,3,1720355,1,0,5,265740,0,0,25467,0,0,172314,0,0
2,21,9521734,9,0,30,959199,0,0,43140,0,0,3503059,3,0
2,22,42004188,42,0,65,2370033,2,0,139662,0,0,27544531,27,0
2,10,9004580,9,0,22,852401,0,0,59033,0,0,3853105,3,0
2,24,5471157,5,0,27,858874,0,0,59514,0,0,1076471,1,0
2,26,8559143,8,0,25,554089,0,0,64592,0,0,4900493,4,0
2,2,119510524,119,0,85,1749160,1,0,175445,0,0,105496184,105,0
2,8,1735372,1,0,17,224401,0,0,25389,0,0,75663,0,0
2,17,1130175,1,0,9,104587,0,0,12975,0,0,137278,0,0
2,3,5037101,5,0,25,357193,0,0,54169,0,0,2313081,2,0
2,20,100984426,100,0,89,1323513,1,0,146791,0,0,90980426,90,0
2,14,3606741,3,0,19,401185,0,0,34122,0,0,1631010,1,0
2,7,820403,0,0,9,83529,0,0,9236,0,0,8566,0,0
2,12,7393770,7,0,50,548634,0,0,60901,0,0,2829145,2,0
2,13,1196019,1,0,10,118594,0,0,17352,0,0,240923,0,0
2,6,10361202,10,0,34,385142,0,0,25106,0,0,7235453,7,0
2,0,7345710,7,0,50,649101,0,0,66426,0,0,2847786,2,0
