Netid,Fid,DiffLUDB,DiffLUDB (ms),DiffLUDB (min),#SubTandems,objFunc Derivation (aggr ns),objFunc Derivation (aggr ms),objFunc Derivation (aggr min),NLopt wrapper (aggr ns),NLopt wrapper (aggr ms),NLopt wrapper (aggr min),NLP (aggr ns),NLP (aggr ms),NLP (aggr min)
1,0,11973794,11,0,1,6849549,6,0,7684,0,0,2275,0,0
1,16,9541650,9,0,2,918417,0,0,1352663,1,0,2403049,2,0
1,13,15425784,15,0,5,804534,0,0,21961,0,0,8371520,8,0
1,1,560725,0,0,1,107262,0,0,2294,0,0,361,0,0
1,5,2888350,2,0,3,325131,0,0,10972,0,0,523053,0,0
1,12,640584,0,0,1,118563,0,0,1973,0,0,411,0,0
1,9,69146331,69,0,17,2521528,2,0,113516,0,0,55691784,55,0
1,7,2191761,2,0,1,164880,0,0,10951,0,0,1427344,1,0
1,10,1790927,1,0,3,198703,0,0,9928,0,0,487918,0,0
1,8,2084179,2,0,1,130596,0,0,8285,0,0,1417025,1,0
1,2,47269,0,0,0,0,0,0,0,0,0,0,0,0
1,6,290697,0,0,1,44193,0,0,872,0,0,390,0,0
1,15,33363,0,0,0,0,0,0,0,0,0,0,0,0
1,14,3965977,3,0,4,310154,0,0,32742,0,0,2114866,2,0
1,11,2923517,2,0,5,346513,0,0,26018,0,0,1174528,1,0
1,4,6896697,6,0,2,201640,0,0,11320,0,0,5629856,5,0
1,3,3155423,3,0,5,298902,0,0,26090,0,0,1206066,1,0
2,28,1943094,1,0,11,298562,0,0,8945,0,0,3858,0,0
2,3,13550688,13,0,25,995881,0,0,59532,0,0,8209036,8,0
2,26,13060366,13,0,25,1022927,1,0,57458,0,0,8229011,8,0
2,2,154879550,154,0,85,2423338,2,0,165456,0,0,138277452,138,0
2,6,38453753,38,0,34,536469,0,0,50515,0,0,35124283,35,0
2,14,5621840,5,0,19,341061,0,0,35827,0,0,3861811,3,0
2,19,2591894,2,0,10,239592,0,0,16178,0,0,1175792,1,0
2,15,137027916,137,0,52,924280,0,0,74646,0,0,129924248,129,0
2,20,176400383,176,0,89,1458923,1,0,143340,0,0,164277959,164,0
2,18,38758666,38,0,22,388909,0,0,53343,0,0,35831041,35,0
2,10,38019225,38,0,22,398621,0,0,34365,0,0,35578005,35,0
2,17,1161083,1,0,9,99647,0,0,9269,0,0,612531,0,0
2,32,34725753,34,0,52,489581,0,0,61642,0,0,30473475,30,0
2,23,5021381,5,0,27,207210,0,0,31025,0,0,3651186,3,0
2,12,15184691,15,0,50,410567,0,0,58151,0,0,12012522,12,0
2,8,2870126,2,0,17,97602,0,0,9780,0,0,2082806,2,0
2,29,6232799,6,0,16,111599,0,0,10141,0,0,5438216,5,0
2,11,7031020,7,0,10,87765,0,0,9218,0,0,6103225,6,0
2,22,49239392,49,0,65,591791,0,0,82267,0,0,45471788,45,0
2,31,3098275,3,0,14,142819,0,0,17216,0,0,2372200,2,0
2,4,18715790,18,0,43,368303,0,0,59533,0,0,16224868,16,0
2,21,42755330,42,0,30,213000,0,0,21511,0,0,41196960,41,0
2,13,3482508,3,0,10,80491,0,0,16471,0,0,2974923,2,0
2,27,270739,0,0,2,40867,0,0,7745,0,0,44334,0,0
2,5,1213622,1,0,5,85440,0,0,8675,0,0,784857,0,0
2,0,16570516,16,0,50,785687,0,0,66615,0,0,12411428,12,0
2,24,6963884,6,0,27,336139,0,0,41224,0,0,4968813,4,0
2,7,726776,0,0,9,110696,0,0,8958,0,0,41708,0,0
2,16,3943876,3,0,14,128470,0,0,17182,0,0,2975965,2,0
2,1,585400,0,0,10,77176,0,0,991,0,0,341,0,0
2,25,7441953,7,0,27,346675,0,0,41706,0,0,5413641,5,0
2,30,8811267,8,0,17,219272,0,0,20068,0,0,7147309,7,0
2,9,69731913,69,0,57,675569,0,0,69292,0,0,64940965,64,0
3,159,52139074,52,0,281,2196853,2,0,135875,0,0,27890511,27,0
3,22,3272878365,3272,0,13176,40495873,40,0,2524538,2,0,2741594681,2741,0
3,43,203382316,203,0,746,1343079,1,0,85329,0,0,182349661,182,0
3,100,41591953,41,0,16,51747,0,0,6682,0,0,40916203,40,0
3,76,4250452,4,0,42,78684,0,0,7042,0,0,3015018,3,0
3,96,1718253203,1718,0,10792,19379603,19,0,1252960,1,0,1410505961,1410,0
3,169,4643595718,4643,0,25103,48729274,48,0,2919613,2,0,3922667284,3922,0
3,158,3796038,3,0,12,26479,0,0,3916,0,0,3430470,3,0
3,59,34749026,34,0,172,323802,0,0,22019,0,0,29724365,29,0
3,188,1074003049,1074,0,6785,12363341,12,0,785981,0,0,880836898,880,0
