Netid,Fid,DiffLUDB,DiffLUDB (ms),DiffLUDB (min),#SubTandems,objFunc Derivation (aggr ns),objFunc Derivation (aggr ms),objFunc Derivation (aggr min),NLopt wrapper (aggr ns),NLopt wrapper (aggr ms),NLopt wrapper (aggr min),NLP (aggr ns),NLP (aggr ms),NLP (aggr min)
1,0,12007194,12,0,1,6916805,6,0,6502,0,0,2214,0,0
1,16,9420912,9,0,2,853021,0,0,1220258,1,0,2725473,2,0
1,13,10029374,10,0,5,752781,0,0,28244,0,0,2871436,2,0
1,1,551915,0,0,1,109745,0,0,7284,0,0,391,0,0
1,5,2212270,2,0,3,288101,0,0,12493,0,0,67426,0,0
1,12,529984,0,0,1,73137,0,0,1523,0,0,300,0,0
1,9,30407448,30,0,17,6478993,6,0,145472,0,0,13511815,13,0
1,7,726343,0,0,1,133340,0,0,10459,0,0,115988,0,0
1,10,1106004,1,0,3,172344,0,0,11461,0,0,17063,0,0
1,8,732183,0,0,1,75763,0,0,10018,0,0,115156,0,0
1,2,41067,0,0,0,0,0,0,0,0,0,0,0,0
1,6,267722,0,0,1,67808,0,0,901,0,0,371,0,0
1,15,24636,0,0,0,0,0,0,0,0,0,0,0,0
1,14,2295616,2,0,4,478858,0,0,37510,0,0,217869,0,0
1,11,1653051,1,0,5,291507,0,0,30336,0,0,143971,0,0
1,4,1264142,1,0,2,147076,0,0,12183,0,0,331261,0,0
1,3,1611203,1,0,5,237786,0,0,33172,0,0,143059,0,0
2,21,12299240,12,0,30,999757,0,0,50864,0,0,6073142,6,0
2,22,17825628,17,0,65,1919228,1,0,152499,0,0,6583192,6,0
2,10,5678062,5,0,22,672142,0,0,59029,0,0,1605783,1,0
2,24,3841295,3,0,27,566531,0,0,70034,0,0,483404,0,0
2,26,3867355,3,0,25,486682,0,0,76283,0,0,853752,0,0
2,2,113241330,113,0,85,1864306,1,0,206357,0,0,99102822,99,0
2,8,1795148,1,0,17,233820,0,0,25266,0,0,107893,0,0
2,17,1074214,1,0,9,111128,0,0,14588,0,0,80100,0,0
2,3,4069724,4,0,25,373702,0,0,60223,0,0,1463564,1,0
2,20,83313201,83,0,89,1284303,1,0,151691,0,0,74209045,74,0
2,14,3001659,3,0,19,376256,0,0,37821,0,0,1210741,1,0
2,7,750437,0,0,9,83957,0,0,11252,0,0,9808,0,0
2,12,6453907,6,0,50,532601,0,0,70834,0,0,2312458,2,0
2,13,1013571,1,0,10,113123,0,0,20337,0,0,152816,0,0
2,6,9043514,9,0,34,371499,0,0,28176,0,0,6096585,6,0
2,0,6455219,6,0,50,610964,0,0,71114,0,0,2351282,2,0
2,25,2844876,2,0,27,303297,0,0,47459,0,0,773740,0,0
2,15,45223041,45,0,52,634499,0,0,58183,0,0,40547496,40,0
2,27,387236,0,0,2,90601,0,0,16690,0,0,12293,0,0
2,23,2584959,2,0,27,292959,0,0,40177,0,0,677941,0,0
2,31,1214839,1,0,14,134903,0,0,22231,0,0,206207,0,0
2,1,551364,0,0,10,67075,0,0,1403,0,0,320,0,0
2,16,1141040,1,0,14,135512,0,0,20509,0,0,175830,0,0
2,28,710302,0,0,11,87503,0,0,1774,0,0,361,0,0
2,30,4192905,4,0,17,222315,0,0,23106,0,0,2519064,2,0
2,32,16377381,16,0,52,611046,0,0,4067952,4,0,7884670,7,0
2,9,18598067,18,0,57,745321,0,0,70173,0,0,13643991,13,0
2,4,7517100,7,0,43,546203,0,0,60575,0,0,3955529,3,0
2,29,2183366,2,0,16,128522,0,0,10698,0,0,1171116,1,0
2,18,4603374,4,0,22,223310,0,0,35981,0,0,2702729,2,0
2,11,1615220,1,0,10,92442,0,0,9822,0,0,897484,0,0
2,5,419347,0,0,5,52038,0,0,8365,0,0,56436,0,0
2,19,791675,0,0,10,81763,0,0,8758,0,0,97312,0,0
3,135,1363080529,1363,0,29259,80212289,80,0,5317333,5,0,276322916,276,0
3,13,23144185,23,0,532,888924,0,0,69509,0,0,4616667,4,0
3,22,736499729,736,0,13176,21311803,21,0,1715845,1,0,369972490,369,0
3,145,8174223,8,0,228,373884,0,0,34006,0,0,1872508,1,0
3,16,45932080,45,0,1207,1938683,1,0,153771,0,0,12589066,12,0
3,160,26260970,26,0,462,943482,0,0,66747,0,0,5924370,5,0
3,177,2975272,2,0,16,98386,0,0,8658,0,0,1635978,1,0
3,186,54906033,54,0,495,1928606,1,0,73434,0,0,25937080,25,0
3,207,71661404,71,0,290,1373972,1,0,92110,0,0,52113982,52,0
3,204,1100615645,1100,0,17238,28993243,28,0,2213714,2,0,614993651,614,0
