,NetID,FlowID,runTimeLUDB(ns)
1939,17, 257,3643174626
2186,19, 35,3653022734
706,10, 433,3655276706
2261,19, 92,3659729811
115,3, 192,3668130517
2501,24, 13,3674625000
196,3, 0,3676587658
4239,32, 4,3686205674
398,8, 63,3696084053
670,10, 137,3716525251
4027,31, 104,3718646041
2097,18, 37,3722090173
3831,29, 98,3731690208
1259,12, 15,3738764320
3520,28, 355,3747284450
4355,32, 150,3754267139
3851,29, 109,3758524957
4094,31, 86,3765317598
1173,12, 68,3772953089
4288,32, 157,3782084584
4061,31, 4,3786755396
1254,12, 130,3793429519
963,10, 256,3812502423
2527,24, 360,3821408450
550,8, 265,3835957203
1169,12, 192,3839442784
1087,10, 77,3848347127
1784,17, 180,3850965302
177,3, 67,3868966777
4196,32, 188,3877108129
1889,17, 103,3878970257
1086,10, 62,3893205197
1055,10, 101,3898228982
1246,12, 142,3907464902
2764,24, 253,3917288985
440,8, 97,3925017837
686,10, 43,3952819544
58,3, 32,3953161340
1500,13, 35,3961294014
3478,28, 299,3972258701
1752,17, 285,3984408051
392,8, 142,3988068660
2599,24, 41,4012269642
4296,32, 33,4016409550
4322,32, 196,4026663393
2630,24, 262,4034065488
1038,10, 234,4037771617
161,3, 129,4043878574
70,3, 190,4060878203
1142,12, 143,4076357513
695,10, 191,4104048195
1839,17, 264,4116166630
3884,29, 44,4166585367
390,8, 200,4182616492
2181,19, 120,4203319716
919,10, 138,4211915186
1885,17, 241,4238145596
749,10, 279,4245964075
3880,29, 90,4278342160
2001,18, 174,4302543632
1639,15, 1,4308981929
2359,24, 165,4314111946
4306,32, 38,4333884922
4348,32, 28,4340168054
3123,27, 115,4357153140
4339,32, 225,4383634681
2802,26, 70,4387191846
738,10, 118,4391529177
3353,28, 107,4401233717
559,8, 93,4410177785
2425,24, 40,4414308035
2804,26, 79,4435062768
4379,34, 81,4438089513
1948,17, 165,4440079049
3709,28, 6,4446315501
1316,13, 196,4449943227
1209,12, 122,4457834545
1321,13, 47,4468903995
1314,13, 82,4470164184
1269,12, 0,4474366416
869,10, 362,4479083479
4187,32, 149,4484829924
2453,24, 196,4506626977
4241,32, 47,4510941298
3988,30, 56,4519345969
1184,12, 10,4531009829
3229,27, 418,4552174526
2664,24, 22,4564482785
1208,12, 176,4579230760
3855,29, 103,4582469924
966,10, 424,4626400004
3966,30, 108,4641708593
3617,28, 421,4652437704
1295,12, 185,4670391657
262,3, 173,4672150024
4442,34, 100,4686432853
4249,32, 100,4687812369
698,10, 352,4692154625
1224,12, 117,4706134508
2659,24, 49,4727372256
2754,24, 373,4731729090
1551,13, 74,4743267429
484,8, 30,4784266468
1065,10, 207,4789397581
1227,12, 27,4797143798
3818,29, 24,4801910640
4155,32, 21,4820686329
1459,13, 197,4821725541
901,10, 359,4822703767
1501,13, 9,4824888428
1464,13, 53,4833652583
447,8, 208,4835737594
2693,24, 414,4843779661
1548,13, 177,4851426542
1790,17, 108,4872619260
524,8, 114,4893896196
805,10, 70,4900200056
3448,28, 112,4906886425
3930,30, 0,4919788489
4260,32, 230,4928250035
2271,19, 74,4953244554
3873,29, 117,4963187754
1282,12, 128,4968569876
4156,32, 25,4977477523
1499,13, 3,4997561528
2221,19, 23,5001995272
2373,24, 264,5020881471
2676,24, 118,5023291478
1905,17, 106,5023539031
1849,17, 28,5028021016
1713,17, 131,5033143571
1652,15, 60,5034879134
2725,24, 91,5041939855
1094,10, 346,5045360138
2055,18, 83,5050244669
464,8, 189,5055276937
1448,13, 155,5060812672
1152,12, 11,5066679780
761,10, 165,5082082033
1762,17, 71,5098063453
752,10, 104,5107716924
2858,26, 82,5120344820
2463,24, 248,5128008383
639,9, 45,5129151989
1722,17, 196,5138835481
815,10, 340,5158775922
1283,12, 150,5164907299
4200,32, 194,5188028558
360,8, 217,5191476105
1775,17, 184,5196593827
1791,17, 143,5202889365
1587,15, 65,5233870987
2638,24, 170,5244767794
2357,24, 51,5258372984
925,10, 6,5269032480
4228,32, 44,5288592474
4314,32, 229,5319842854
3983,30, 97,5344368259
1747,17, 126,5349988859
2683,24, 226,5365153352
1367,13, 5,5368394219
560,8, 99,5379178839
391,8, 188,5383806314
455,8, 107,5392738186
152,3, 182,5395879807
1694,17, 99,5401532447
1494,13, 129,5408295000
3887,29, 111,5412629097
1884,17, 168,5422532508
757,10, 364,5441981690
2114,18, 161,5444805825
2264,19, 32,5449323273
349,8, 253,5459953489
1544,13, 27,5469213643
2279,19, 87,5483539884
3447,28, 133,5491758796
1354,13, 123,5502570904
532,8, 250,5509114499
218,3, 124,5511758375
1162,12, 41,5523950555
1732,17, 136,5526406608
887,10, 358,5546996838
4212,32, 233,5551871644
2703,24, 124,5573262978
1320,13, 186,5582913088
2159,18, 42,5594060073
4269,32, 200,5600191749
839,10, 64,5613385190
1913,17, 7,5616816673
495,8, 176,5632838092
784,10, 89,5643810858
1028,10, 248,5668514511
3951,30, 73,5671219390
4175,32, 18,5688109862
875,10, 299,5703518864
778,10, 390,5736215297
2781,26, 52,5745543376
4116,31, 36,5751671718
845,10, 87,5753891264
2356,24, 106,5765886026
4176,32, 162,5767433825
1048,10, 296,5792366696
2497,24, 401,5797291835
2180,19, 126,5828449317
779,10, 63,5836219061
4268,32, 106,5843691739
1406,13, 212,5860953242
4126,32, 105,5863250117
4055,31, 62,5875509503
1285,12, 81,5884866130
3968,30, 77,5886241316
1770,17, 52,5896744466
4229,32, 60,5918692589
1536,13, 166,5927568728
2582,24, 327,5935462439
4150,32, 119,5947025806
3977,30, 92,5952563657
4223,32, 152,5957940357
211,3, 36,5966838752
4191,32, 173,5976156035
2411,24, 113,5987584524
2390,24, 23,5999481150
854,10, 354,6004132840
2744,24, 329,6008577399
4236,32, 112,6030986341
2689,24, 163,6039388376
2505,24, 356,6046886761
681,10, 395,6062741357
3149,27, 195,6071440641
2586,24, 162,6101737721
1547,13, 86,6133961963
201,3, 205,6154915882
660,10, 8,6159739150
4298,32, 75,6170224597
2663,24, 204,6181841690
4181,32, 203,6190671227
3959,30, 74,6201334624
2084,18, 193,6214850409
1512,13, 54,6240021183
1261,12, 82,6253454229
4133,32, 171,6262255764
2761,24, 55,6287062901
3170,27, 88,6295383234
2217,19, 127,6302212999
1347,13, 108,6317204747
1553,13, 113,6328354893
2462,24, 193,6345355374
2580,24, 415,6368598615
518,8, 214,6371540837
1177,12, 173,6381837091
1960,17, 186,6387174838
847,10, 284,6396113748
2650,24, 181,6400741832
960,10, 324,6402910201
4040,31, 66,6406355549
1980,18, 67,6424245048
84,3, 209,6443150106
2513,24, 369,6451983020
2479,24, 413,6469707315
747,10, 41,6477944585
165,3, 164,6482010487
2662,24, 295,6496194991
3681,28, 361,6518386366
1740,17, 151,6542518260
2611,24, 380,6554164662
934,10, 382,6612944604
4392,34, 17,6632956845
3110,27, 66,6637050616
790,10, 201,6654106706
1260,12, 85,6712676129
365,8, 270,6725412037
2687,24, 424,6738106000
1423,13, 250,6748002782
678,10, 28,6758443513
3891,29, 17,6807264696
892,10, 105,6822067245
