,NetID,FlowID,runTimeLUDB(ns)
667,10, 60,4309553082
504,8, 73,4333265426
1838,17, 43,4337693491
2927,27, 37,4345018247
345,8, 162,4359260676
2765,24, 67,4386151609
481,8, 220,4389890938
1344,13, 118,4400392734
240,3, 156,4408400534
633,9, 0,4410212595
897,10, 177,4424906112
1163,12, 14,4435412911
2049,18, 53,4438624426
1750,17, 265,4443395301
1711,17, 76,4448049745
2138,18, 177,4454008048
3150,27, 301,4459942712
425,8, 89,4469911482
1597,15, 25,4471314149
4211,32, 161,4476351423
571,8, 273,4483691416
94,3, 148,4503240001
2515,24, 272,4508411672
2502,24, 38,4511582304
3913,30, 109,4523111327
1160,12, 43,4551690763
987,10, 182,4557851300
1923,17, 171,4575860388
2249,19, 18,4582050805
2034,18, 30,4591239155
3996,30, 110,4630913850
4404,34, 36,4645256087
1027,10, 199,4656736449
1996,18, 116,4671818519
2396,24, 174,4681916290
1862,17, 266,4687148483
1110,12, 100,4689308959
618,9, 41,4694605582
3872,29, 38,4709066067
3075,27, 2,4729601644
733,10, 317,4735447277
1826,17, 216,4747123030
4205,32, 5,4785187695
3892,30, 27,4790440578
61,3, 91,4797262475
921,10, 357,4814254532
2234,19, 133,4821586915
1127,12, 109,4822354951
2960,27, 258,4823184894
2785,26, 19,4826837524
1446,13, 121,4833871792
4157,32, 74,4841767198
2047,18, 66,4848137551
2083,18, 4,4869468666
531,8, 262,4888150038
1717,17, 80,4897261469
3838,29, 55,4900356464
2430,24, 58,4906893028
4125,32, 223,4922258726
3846,29, 65,4933234303
2113,18, 81,4962228057
529,8, 256,4967980056
3774,29, 52,4975759942
2827,26, 15,4980826675
2121,18, 139,5001748011
1971,18, 148,5006142764
4135,32, 113,5020909406
1387,13, 128,5023501150
1242,12, 13,5026736079
2645,24, 381,5029333636
2009,18, 159,5034481926
760,10, 157,5038470934
1721,17, 150,5043488527
1837,17, 63,5045576091
2631,24, 45,5055121752
1123,12, 53,5060693439
4324,32, 122,5062267358
2157,18, 192,5067111219
2412,24, 159,5090747921
812,10, 102,5100662221
4139,32, 40,5115231635
1687,17, 221,5120422471
3950,30, 48,5128229208
245,3, 44,5136936943
4170,32, 130,5156018766
1868,17, 228,5158791071
2007,18, 163,5185680392
4435,34, 42,5191208264
1023,10, 420,5193595399
1788,17, 193,5196654732
223,3, 210,5210795495
2672,24, 142,5240206863
2402,24, 407,5248883855
377,8, 146,5260234682
2035,18, 2,5282628950
513,8, 144,5298525182
1744,17, 202,5324683514
2843,26, 7,5346329915
852,10, 232,5363755086
972,10, 108,5367830689
4050,31, 45,5369422853
2358,24, 17,5379634666
4218,32, 228,5391250362
2700,24, 279,5394188658
983,10, 268,5400622836
383,8, 182,5403829532
500,8, 263,5411510616
2449,24, 281,5416662642
3998,30, 80,5428596806
3560,28, 2,5442597016
4345,32, 42,5447093760
535,8, 131,5459757184
2450,24, 325,5464795266
1827,17, 232,5482541631
2415,24, 390,5485473509
3034,27, 99,5502449793
810,10, 318,5505900121
4315,32, 190,5509848804
1932,17, 124,5521126723
904,10, 192,5525318564
2704,24, 210,5543772266
2795,26, 100,5551832465
459,8, 143,5566498798
1323,13, 245,5577439041
3837,29, 54,5586216758
2467,24, 240,5596029525
1969,18, 165,5606921085
582,8, 243,5616747526
2388,24, 339,5631252482
4468,34, 88,5638000366
3038,27, 248,5663208753
257,3, 194,5670329191
1175,12, 34,5683679748
1190,12, 160,5696854911
2574,24, 189,5723635256
180,3, 19,5739537211
1794,17, 83,5748515463
844,10, 291,5753416154
2260,19, 98,5762340630
4273,32, 50,5766114125
1620,15, 10,5775622955
4312,32, 135,5796980366
2625,24, 43,5797944953
2086,18, 41,5835830581
64,3, 43,5837951845
3794,29, 1,5850565040
4124,32, 212,5862288323
2143,18, 127,5875440651
973,10, 54,5883658446
184,3, 108,5885239139
1381,13, 111,5886873936
3976,30, 12,5900502379
1164,12, 95,5924898928
4190,32, 94,5934149209
3132,27, 92,5940588392
3247,27, 95,5947179561
3470,28, 256,5955502451
2092,18, 3,5963856682
829,10, 271,5974405010
2814,26, 57,5979988648
4216,32, 174,5998297143
60,3, 66,6000687683
4261,32, 35,6006783606
235,3, 206,6012494173
4238,32, 140,6038081736
509,8, 266,6045056698
2558,24, 3,6056584388
691,10, 17,6070250611
3863,29, 120,6073506136
860,10, 152,6129115394
876,10, 106,6134654649
119,3, 101,6158577342
1532,13, 234,6161829014
3029,27, 184,6172232339
2153,18, 153,6188682625
2519,24, 320,6194944025
4311,32, 30,6208500125
1591,15, 56,6220899803
528,8, 236,6249166099
1133,12, 131,6260771217
2216,19, 116,6275272949
2480,24, 0,6292593875
1710,17, 32,6301064654
4272,32, 10,6316671591
108,3, 55,6319659324
359,8, 1,6344110181
4078,31, 82,6363785004
2056,18, 25,6370162032
86,3, 93,6374077987
4189,32, 241,6383751861
2815,26, 28,6388173092
1137,12, 17,6398325117
4297,32, 103,6401611087
813,10, 7,6406073388
1057,10, 412,6418448314
1180,12, 77,6432527624
1763,17, 109,6445059418
978,10, 142,6465116310
2847,26, 2,6473875526
2893,27, 268,6479146551
2158,18, 113,6489951188
1077,10, 81,6512898001
254,3, 189,6538032770
4274,32, 82,6552759897
1821,17, 132,6558532414
1017,10, 419,6625699668
2624,24, 37,6635945112
575,8, 271,6653860832
1757,17, 142,6678305880
4278,32, 137,6721202014
1244,12, 174,6734981273
2851,26, 0,6740223029
228,3, 116,6756620176
1008,10, 190,6767902108
3812,29, 70,6813268067
1706,17, 255,6822998225
4112,31, 94,6832069723
2124,18, 169,6855208415
3619,28, 320,6863468670
1488,13, 29,6878465686
4449,34, 66,6885556720
1020,10, 33,6916250633
4310,32, 96,6923799519
2386,24, 176,6939629849
1238,12, 184,6948355615
868,10, 375,6958079601
1216,12, 188,6976521859
2196,19, 117,6992504228
1883,17, 157,7002530199
2081,18, 150,7013472586
1816,17, 261,7022602204
3210,27, 328,7053845626
1531,13, 189,7060409674
3129,27, 242,7066443095
796,10, 350,7136033630
2525,24, 405,7153537601
2532,24, 2,7156214050
4307,32, 59,7172939529
1109,12, 161,7184721563
3799,29, 95,7207173632
4347,32, 83,7219732597
911,10, 300,7226424209
1232,12, 42,7233504727
